Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	1735656	4145383	3052387	341233	103320	100727	105800	160340	506	783621	62824	783617	75235	40422	351382
SV	Branch-based	1	1440924	3453151	2909501	440793	116509	120348	117474	170332	63	783618	15195	783617	57238	40422	351382
SV	Branch-based	2	1402985	3169549	2867092	464968	121955	120428	118896	174430	0	783618	1059	783618	44944	40422	351382
SV	Branch-based	3	1313534	3152072	2864176	466694	119331	119083	121518	174550	0	783621	87	783617	43813	40422	351382
SV	Branch-based	4	1314765	3152333	2863964	465012	120877	119980	119980	174683	0	783618	16	783617	43723	40422	351382
SV	Branch-based	5	1360754	3150658	2863924	464002	121417	120260	123989	174678	1	783618	3	783618	43684	40422	351382
SV	Branch-avoiding	0	1413885	3382829	3025616	430782	171661	110959	170081	173107	51	783619	40426	432235	50972	40422	351382
SV	Branch-avoiding	1	1459915	3387928	3025615	429927	170783	111646	171020	172688	46	783619	40426	432236	50993	40422	351382
SV	Branch-avoiding	2	1408795	3388715	3025615	428791	169148	108770	168303	173184	43	783622	40426	432235	50947	40422	351382
SV	Branch-avoiding	3	1409954	3389996	3025616	429149	169497	114415	172594	172765	38	783619	40426	432235	50984	40422	351382
SV	Branch-avoiding	4	1429955	3379509	3025615	429363	172532	113687	167719	173091	49	783619	40426	432236	50967	40422	351382
SV	Branch-avoiding	5	1408465	3382519	3025615	431866	169138	110676	172046	172738	38	783622	40426	432235	50968	40422	351382
