Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	40	114225581	272574127	328596113	56708788	27648804	27558193	27613875	4259789	1	93045049	27373	93044989	984073	952204	45570272
SV	Branch-based	41	114131691	272506968	328593782	56725964	27603766	27508890	27632270	4260242	2	93045049	26596	93044990	984236	952204	45570272
SV	Branch-based	42	114251031	272422237	328580383	56800103	27613476	27538263	27627964	4261816	3	93045046	22130	93044990	978035	952204	45570272
SV	Branch-based	43	114153701	272424168	328577360	56786199	27646832	27514273	27613063	4262518	0	93045049	21122	93044989	976990	952204	45570272
SV	Branch-based	44	114151711	272337771	328573726	56800186	27619011	27525951	27652384	4263216	0	93045046	19911	93044990	975374	952204	45570272
SV	Branch-based	45	114102611	272225864	328563857	56812598	27639266	27485171	27636226	4264344	3	93045049	16621	93044989	972044	952204	45570272
SV	Branch-based	46	114120241	272412433	328571649	56898708	27613303	27520350	27611562	4263500	4	93045049	19218	93044990	976122	952204	45570272
SV	Branch-based	47	114047341	272086551	328550248	56813666	27624965	27516637	27652030	4265890	0	93045046	12085	93044990	966833	952204	45570272
SV	Branch-based	48	113974030	271944522	328531706	56842466	27639626	27547073	27591198	4268466	0	93045052	5904	93044989	961138	952204	45570272
SV	Branch-based	49	113973820	272041040	328528282	56852020	27620398	27532388	27665514	4268385	1	93045046	4763	93044990	959017	952204	45570272
SV	Branch-based	50	113919041	271918464	328523789	56896464	27669414	27547639	27664420	4269183	1	93045049	3265	93044989	957321	952204	45570272
SV	Branch-based	51	113958960	271922602	328518664	56838069	27683043	27558478	27660364	4269841	0	93045046	1557	93044991	955507	952204	45570272
SV	Branch-based	52	113901680	271886734	328515641	56867277	27632225	27579617	27625881	4270388	0	93045049	549	93044989	955080	952204	45570272
SV	Branch-based	53	113880780	271850080	328515388	56841755	27622597	27549897	27660856	4270381	0	93045046	465	93044990	954334	952204	45570272
