Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	200208118	470673168	554562123	53616348	45659910	45692060	45731429	6504648	405	155303853	2722676	155303754	3014741	943696	76708152
SV	Branch-based	1	178840547	426193590	548285412	61233292	50256185	50206032	50356492	6805597	90	155303841	630441	155303750	1396221	943696	76708152
SV	Branch-based	2	172736367	411566586	546506091	63219202	50946844	50871275	50964821	6910272	8	155303835	37334	155303748	964330	943696	76708152
SV	Branch-based	3	172238485	410697432	546394097	63379918	51011199	50865374	50929027	6913486	0	155303835	3	155303748	946017	943696	76708152
SV	Branch-avoiding	0	172219405	410635885	550168884	36086560	44279122	42951184	44284832	6863029	8	155303836	943700	78595596	1001099	943696	76708152
SV	Branch-avoiding	1	172783736	410659441	550168884	36184733	44314162	42921997	44258308	6862510	13	155303839	943700	78595596	1001100	943696	76708152
SV	Branch-avoiding	2	172137815	410640370	550168884	36133927	44314846	42883180	44236474	6862592	9	155303836	943700	78595596	1001053	943696	76708152
SV	Branch-avoiding	3	172106014	410702787	550168884	36126971	44301862	42933256	44289432	6862338	12	155303836	943700	78595596	1001116	943696	76708152
