Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	45	2378118	5659151	6038699	728675	1582928	1410773	1581504	73223	624	1720078	15942	1709145	13709	10926	843642
BFS/TD	Branch-based	46	1782486	4275841	4484319	546461	1223451	1088466	1229519	54898	642	1276117	14604	1268146	10410	7968	626100
BFS/TD	Branch-based	47	1695286	3957584	4177724	513116	1114166	990795	1116026	50979	596	1188799	13734	1181493	9652	7299	583443
BFS/TD	Branch-based	48	1524105	3677295	3883010	460855	1038437	932541	1044929	47612	519	1105219	12126	1098352	8938	6864	542307
BFS/TD	Branch-based	49	1345324	3224069	3441570	393174	919210	824356	915106	42037	475	979588	10710	973521	7914	6060	480696
BFS/TD	Branch-based	50	1200264	2837930	3063668	347393	789162	709850	788284	37518	457	871777	10092	866421	7010	5352	427854
BFS/TD	Branch-based	51	1086634	2618923	2843987	305588	729755	660326	720481	34438	323	809674	8442	804627	6456	5043	397266
BFS/TD	Branch-based	52	884173	2127062	2361687	234588	592798	530667	585290	28569	373	672715	6204	668494	5167	4218	330024
BFS/TD	Branch-based	53	544672	1304503	1513067	133400	351048	328910	350036	18375	77	432394	834	429291	3292	3099	211542
BFS/TD	Branch-based	54	61220	146559	179006	13563	34995	32381	34214	2146	0	51208	6	50787	426	414	24975
BFS/TD	Branch-avoiding	0	2380	5677	1013	175	4534	784	3694	37	22	177	167	91	6	1	80
BFS/TD	Branch-avoiding	1	29270	69560	72459	144	18207	13032	19570	367	65	12190	11943	6137	113	80	5968
BFS/TD	Branch-avoiding	2	103600	246973	292339	592	46658	37588	49260	1307	261	49130	48223	24717	404	300	24108
BFS/TD	Branch-avoiding	3	231931	557050	688687	1285	83986	69833	82681	3051	582	115703	113641	58194	921	684	56817
BFS/TD	Branch-avoiding	4	448971	1078474	1334233	860	164634	135654	158528	5914	1174	224135	220177	112728	1772	1317	110085
BFS/TD	Branch-avoiding	5	760273	1817287	2255006	2882	279660	231293	279153	10360	2217	378845	372079	190551	3037	2253	186036
BFS/TD	Branch-avoiding	6	1149274	2613449	3197545	4367	419779	339809	407401	14250	2748	537287	527479	270280	4396	3267	263736
BFS/TD	Branch-avoiding	7	1341214	3219441	3926701	7115	527221	425617	525384	17534	3442	659717	647875	331833	5310	3945	323934
BFS/TD	Branch-avoiding	8	1675626	3973288	4801316	7244	668200	532081	668898	21491	4241	806693	792139	405772	6495	4848	396066
BFS/TD	Branch-avoiding	9	1929996	4608934	5599411	9636	768807	606035	776018	24624	4571	940730	923875	473175	7546	5616	461934
BFS/TD	Branch-avoiding	10	2277838	5407188	6527672	11918	934379	711699	914288	29539	5862	1096667	1077055	551602	8760	6534	538524
BFS/TD	Branch-avoiding	11	2703169	6491662	7827103	15483	1113621	854186	1106839	35837	7273	1314911	1291537	661350	10466	7788	645765
BFS/TD	Branch-avoiding	12	3265341	7710364	9307334	17268	1330652	1009762	1321819	42057	8270	1563569	1535797	786415	12461	9255	767895
BFS/TD	Branch-avoiding	13	3791693	9063841	10853144	17189	1605567	1207045	1601938	49846	10294	1823147	1791007	916930	14405	10710	895500
BFS/TD	Branch-avoiding	14	4520715	10805980	12935876	23610	1944178	1438896	1941391	59384	11417	2173040	2134669	1092913	17324	12786	1067331
BFS/TD	Branch-avoiding	15	5355927	12740442	15220455	24632	2304854	1722879	2298879	70193	14363	2556644	2511877	1285784	20055	14919	1255935
BFS/TD	Branch-avoiding	16	6375462	15231021	18193814	30289	2756556	2044010	2750328	83866	16921	3056159	3002497	1537021	24023	17883	1501245
BFS/TD	Branch-avoiding	17	7448635	17705418	21081117	36149	3252403	2409340	3224065	97798	19842	3541169	3478969	1780952	28062	20730	1739481
BFS/TD	Branch-avoiding	18	8462508	20160145	23948385	42064	3703868	2742130	3708096	112427	22859	4022810	3952147	2023181	31903	23550	1976070
BFS/TD	Branch-avoiding	19	9633662	23040721	27327112	52467	4302294	3099450	4287818	127669	25746	4590362	4509733	2308617	36391	26871	2254863
BFS/TD	Branch-avoiding	20	10966917	26088732	30855021	56174	4973454	3607916	4932498	144782	30131	5183111	5091763	2606777	41058	30444	2545878
BFS/TD	Branch-avoiding	21	12152640	28977655	34182538	66741	5548088	4017033	5500002	160419	32565	5741777	5641249	2887641	45360	33504	2820621
BFS/TD	Branch-avoiding	22	13564395	32285733	38110282	76976	6083490	4435191	6066953	177772	36322	6402305	6288493	3220120	51192	37932	3144243
BFS/TD	Branch-avoiding	23	14083067	33614412	39707992	84746	6368934	4615909	6346164	185784	37588	6670421	6552493	3354861	53149	39303	3276243
BFS/TD	Branch-avoiding	24	15206851	36218040	42714875	88501	6917574	4950174	6881373	200564	41767	7175849	7048285	3609184	57311	42516	3524139
BFS/TD	Branch-avoiding	25	16070424	38309362	45022073	94007	7389751	5377934	7384227	208993	42815	7563701	7428673	3804352	60670	45003	3714333
BFS/TD	Branch-avoiding	26	16632845	39639890	46347101	87559	7810079	5639305	7738015	216066	43132	7786718	7646791	3916675	62974	46635	3823392
BFS/TD	Branch-avoiding	27	17196128	41037705	48313297	88223	7840990	5658048	7765116	223326	43995	8117330	7970845	4083077	65849	48822	3985419
BFS/TD	Branch-avoiding	28	16317574	38842147	45792433	82829	7346416	5288369	7410478	209742	42340	7695698	7552561	3871702	64182	47706	3776277
BFS/TD	Branch-avoiding	29	13577736	32313429	38231632	71236	6121233	4382971	6096382	174833	34422	6424646	6306073	3232083	53166	39519	3153033
BFS/TD	Branch-avoiding	30	11622618	27714021	32750818	65475	5185104	3776578	5201549	149339	29172	5503853	5401759	2768940	45807	34026	2700876
BFS/TD	Branch-avoiding	31	10308655	24662619	29128984	55124	4673900	3375136	4646115	132600	25056	4895066	4804555	2462616	40560	30165	2402274
BFS/TD	Branch-avoiding	32	9448951	22511360	26638221	41168	4229374	3092345	4209943	121895	23364	4476380	4393873	2251940	36989	27498	2196933
BFS/TD	Branch-avoiding	33	8877280	21124588	24991881	43106	3993401	2926051	3964668	114480	22662	4199969	4122013	2112974	35010	25980	2061003
BFS/TD	Branch-avoiding	34	8084117	19223173	22732041	46190	3639604	2678493	3605603	104346	20251	3820406	3749023	1922099	32003	23790	1874508
BFS/TD	Branch-avoiding	35	7119614	16997005	20018037	35139	3269315	2397644	3236702	91945	17502	3364013	3301759	1692383	27873	20748	1650876
BFS/TD	Branch-avoiding	36	6561922	15600832	18398541	37663	2983156	2197834	2961492	83935	16606	3091964	3034513	1555556	25766	19146	1517253
BFS/TD	Branch-avoiding	37	5893309	14047379	16550816	30804	2676594	2022879	2672559	75630	14272	2781530	2729659	1399408	23308	17286	1364826
BFS/TD	Branch-avoiding	38	5378248	12787445	15056217	28744	2457594	1850905	2456546	69579	13642	2530115	2483449	1272835	20995	15552	1241721
BFS/TD	Branch-avoiding	39	5416958	12892165	15214562	26281	2414546	1851274	2422809	69172	13288	2556494	2509855	1286021	20967	15543	1254924
BFS/TD	Branch-avoiding	40	5445629	12922503	15340976	29781	2436583	1845558	2416112	70710	13801	2577746	2530699	1296712	21139	15678	1265346
BFS/TD	Branch-avoiding	41	5412968	12898120	15289611	28932	2426071	1861813	2425641	70795	14256	2569226	2522083	1292471	21174	15711	1261038
BFS/TD	Branch-avoiding	42	5191157	12325198	14587070	26701	2297389	1744194	2295635	66510	12485	2451560	2405713	1233421	20573	15279	1202853
BFS/TD	Branch-avoiding	43	4491985	10749180	12681200	23588	2054409	1572453	2041287	57705	10710	2131103	2091583	1072138	17740	13170	1045788
BFS/TD	Branch-avoiding	44	4144354	9945010	11703230	17112	1891857	1471141	1902151	52999	9845	1966760	1930273	989461	16366	12159	965133
BFS/TD	Branch-avoiding	45	3655492	8693817	10233008	16578	1663127	1264917	1648241	46272	8136	1720079	1687291	865504	14694	10926	843642
BFS/TD	Branch-avoiding	46	2699129	6506324	7592924	13431	1296116	993586	1290150	35054	6657	1276121	1252207	642046	10714	7968	626100
BFS/TD	Branch-avoiding	47	2528218	6019184	7074350	12789	1163813	894762	1166709	32583	6239	1188800	1166893	598050	9827	7299	583443
BFS/TD	Branch-avoiding	48	2351618	5581559	6576367	11570	1070943	815229	1055637	30349	5691	1105220	1084621	556045	9253	6864	542307
BFS/TD	Branch-avoiding	49	2050487	4918859	5828996	9511	932411	738375	935685	26879	5078	979589	961399	492825	8185	6060	480696
BFS/TD	Branch-avoiding	50	1860666	4359626	5187811	7939	797220	631105	784815	23904	4609	871778	855715	438568	7204	5352	427854
BFS/TD	Branch-avoiding	51	1676296	4015334	4817666	6144	694935	577517	702180	21814	3731	809678	794539	407361	6799	5043	397266
BFS/TD	Branch-avoiding	52	1377705	3299186	4002511	3770	550442	475623	557322	18123	3120	672716	660055	338470	5688	4218	330024
BFS/TD	Branch-avoiding	53	888652	2082217	2569537	2172	316688	270506	309109	11515	2143	432395	423091	217749	4178	3099	211542
BFS/TD	Branch-avoiding	54	100481	240081	303883	222	29644	27747	29060	1292	149	51206	49957	25812	566	414	24975
