Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	520	641	81	0	19	19	19	7	1	22	12	17	7	1	3
BFS/TD	Branch-based	1	390	817	202	4	41	36	38	19	10	50	28	43	10	3	14
BFS/TD	Branch-based	2	650	1157	405	21	108	119	135	25	2	104	40	89	19	11	29
BFS/TD	Branch-based	3	1150	1857	781	2	44	38	48	22	0	196	78	175	50	17	66
BFS/TD	Branch-based	4	1810	2818	1308	4	108	78	95	33	1	345	88	305	83	36	112
BFS/TD	Branch-based	5	2130	3240	1536	14	102	93	126	43	3	392	132	347	94	41	128
BFS/TD	Branch-based	6	2600	4363	2025	2	140	131	138	54	5	528	148	461	139	63	163
BFS/TD	Branch-based	7	2900	5044	2434	3	105	106	116	69	14	634	176	559	171	71	204
BFS/TD	Branch-based	8	3660	6441	2893	32	227	205	227	130	9	756	202	667	209	85	244
BFS/TD	Branch-based	9	4140	7410	3356	60	256	203	266	159	27	861	270	759	227	98	277
BFS/TD	Branch-based	10	5530	10096	4452	37	400	344	398	305	29	1137	368	1001	300	132	364
BFS/TD	Branch-based	11	8210	15071	6542	119	894	768	903	434	31	1664	548	1479	437	181	554
BFS/TD	Branch-based	12	12070	22245	9669	92	1179	989	1271	588	54	2482	754	2207	665	271	828
BFS/TD	Branch-based	13	15440	27816	12792	272	1763	1418	1820	792	83	3281	1006	2903	809	374	1073
BFS/TD	Branch-based	14	18940	34082	16350	403	1777	1305	1841	904	61	4253	1152	3749	988	500	1370
BFS/TD	Branch-based	15	22091	39602	18984	487	2435	1764	2459	1093	71	4968	1264	4391	1174	573	1618
BFS/TD	Branch-based	16	22440	40773	19796	358	1727	1183	1822	1034	56	5250	1166	4617	1254	629	1675
BFS/TD	Branch-based	17	19990	36046	17547	453	2062	1354	2086	982	45	4705	922	4121	1102	580	1476
BFS/TD	Branch-based	18	14410	26481	12874	433	1615	1088	1669	771	15	3475	636	3013	743	458	1044
BFS/TD	Branch-based	19	9620	17644	8624	424	1419	931	1417	514	12	2344	394	2025	486	315	693
BFS/TD	Branch-based	20	5920	11188	5480	321	978	616	991	326	13	1479	276	1281	317	194	442
BFS/TD	Branch-based	21	3690	7204	3811	182	479	287	429	137	1	1052	140	913	217	135	317
BFS/TD	Branch-based	22	2160	4318	2253	40	148	105	154	78	0	610	110	539	137	67	198
BFS/TD	Branch-based	23	1620	3160	1784	8	50	31	51	35	0	491	70	435	101	52	161
BFS/TD	Branch-based	24	1010	2079	974	8	44	44	53	19	0	273	32	237	68	32	82
BFS/TD	Branch-based	25	480	1076	430	2	34	20	24	12	0	120	20	103	28	13	34
BFS/TD	Branch-based	26	270	638	236	6	45	25	40	11	0	68	10	57	14	7	17
BFS/TD	Branch-based	27	140	369	75	0	19	19	19	8	0	23	6	17	4	2	2
BFS/TD	Branch-avoiding	0	270	547	89	0	19	19	19	7	1	23	13	14	7	1	3
BFS/TD	Branch-avoiding	1	270	821	241	2	137	79	89	20	7	51	35	29	5	3	14
BFS/TD	Branch-avoiding	2	460	1126	501	27	113	83	132	18	5	105	65	60	16	11	29
BFS/TD	Branch-avoiding	3	650	1491	1005	2	149	97	125	22	5	197	139	109	22	17	66
BFS/TD	Branch-avoiding	4	1020	2355	1747	7	168	125	183	35	10	346	231	193	37	36	112
BFS/TD	Branch-avoiding	5	1110	2596	1989	11	242	172	266	43	11	393	263	219	46	41	128
BFS/TD	Branch-avoiding	6	1420	3416	2629	2	237	164	245	46	12	529	333	298	68	63	163
BFS/TD	Branch-avoiding	7	1620	4022	3201	17	382	275	398	65	20	635	415	355	84	71	204
BFS/TD	Branch-avoiding	8	2050	4993	3821	9	669	475	617	107	38	757	495	423	100	85	244
BFS/TD	Branch-avoiding	9	2300	5884	4347	12	771	485	743	168	45	862	561	482	121	98	277
BFS/TD	Branch-avoiding	10	3130	7765	5731	38	1348	1009	1371	248	70	1138	735	637	145	132	364
BFS/TD	Branch-avoiding	11	4430	11417	8501	49	2223	1584	2162	388	109	1665	1115	925	192	181	554
BFS/TD	Branch-avoiding	12	6710	16572	12689	66	2913	2118	2811	529	135	2483	1663	1379	292	271	828
BFS/TD	Branch-avoiding	13	8760	21297	16659	96	4222	2982	4078	705	175	3282	2153	1830	364	374	1073
BFS/TD	Branch-avoiding	14	11150	27122	21483	113	4630	3286	4416	839	202	4254	2747	2379	494	500	1370
BFS/TD	Branch-avoiding	15	12961	31509	25189	108	5225	3717	5063	922	202	4969	3243	2773	583	573	1618
BFS/TD	Branch-avoiding	16	13940	33996	26433	93	4779	3441	4630	938	201	5251	3357	2942	712	629	1675
BFS/TD	Branch-avoiding	17	12440	30218	23555	116	4886	3453	4735	913	205	4706	2959	2645	580	580	1476
BFS/TD	Branch-avoiding	18	9420	23052	17151	71	3536	2416	3459	722	161	3476	2095	1969	455	458	1044
BFS/TD	Branch-avoiding	19	6360	15694	11509	106	2476	1640	2407	507	119	2345	1393	1332	287	315	693
BFS/TD	Branch-avoiding	20	3850	9821	7287	50	1477	893	1444	309	67	1480	891	839	184	194	442
BFS/TD	Branch-avoiding	21	2390	6245	5197	10	695	458	707	127	24	1053	641	596	127	135	317
BFS/TD	Branch-avoiding	22	1440	3700	3089	5	246	179	240	68	12	611	403	341	82	67	198
BFS/TD	Branch-avoiding	23	1120	3071	2495	0	149	98	131	31	6	492	329	274	67	52	161
BFS/TD	Branch-avoiding	24	670	1931	1347	3	159	85	147	27	5	274	171	155	47	32	82
BFS/TD	Branch-avoiding	25	330	993	581	3	119	86	99	14	3	121	75	69	21	13	34
BFS/TD	Branch-avoiding	26	210	717	317	0	69	89	53	11	2	69	41	40	12	7	17
BFS/TD	Branch-avoiding	27	110	487	87	0	23	19	23	5	1	24	11	15	7	2	2
