Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	155184558	545602440	554562112	0	0	172342003	2959145	0	155303744	3681478	943696	76708152
SV	Branch-based	1	136258940	479603654	548285402	0	0	159623452	663671	0	155303739	1345421	943696	76708152
SV	Branch-based	2	133230912	450948605	546506079	0	0	157365161	40625	0	155303738	949113	943696	76708152
SV	Branch-based	3	128281608	450373472	546394086	0	0	157333421	1426	0	155303737	943736	943696	76708152
SV	Branch-avoiding	0	103819493	365068154	550168867	0	0	162209762	945505	0	78595578	943669	943696	76708152
SV	Branch-avoiding	1	111755108	355459214	550168866	0	0	161869181	945532	0	78595580	943666	943696	76708152
SV	Branch-avoiding	2	101147117	350407822	550168868	0	0	162346917	945541	0	78595579	943668	943696	76708152
SV	Branch-avoiding	3	103285344	364473665	550168867	0	0	162608241	945479	0	78595580	943681	943696	76708152
