Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	53	80514247	282536635	328515380	0	0	95133318	1371	0	93044981	952472	952204	45570272
SV	Branch-based	54	80469106	282509405	328514687	0	0	95132412	1145	0	93044982	952451	952204	45570272
SV	Branch-based	55	80481498	282535977	328514604	0	0	95134301	1106	0	93044981	952416	952204	45570272
SV	Branch-based	56	80467314	311442705	328514477	0	0	95131941	1113	0	93044982	952384	952204	45570272
SV	Branch-based	57	90444021	282575332	328514351	0	0	95131684	1022	0	93044984	952241	952204	45570272
SV	Branch-based	58	84040637	282757734	328513994	0	0	95132406	898	0	93044981	952228	952204	45570272
SV	Branch-avoiding	0	66895435	223877569	332322810	0	0	99936648	953349	0	47474705	952255	952204	45570272
SV	Branch-avoiding	1	66180094	237410105	332322809	0	0	99374800	953414	0	47474706	952247	952204	45570272
SV	Branch-avoiding	2	67232850	226463489	332322810	0	0	100106991	953335	0	47474706	952251	952204	45570272
SV	Branch-avoiding	3	67063386	226548734	332322809	0	0	99634112	953299	0	47474705	952246	952204	45570272
SV	Branch-avoiding	4	66839876	228376345	332322809	0	0	99875199	953286	0	47474706	952242	952204	45570272
SV	Branch-avoiding	5	65802610	235211449	332322810	0	0	100558250	953359	0	47474705	952242	952204	45570272
SV	Branch-avoiding	6	63804267	233127842	332322809	0	0	100096996	953256	0	47474706	952241	952204	45570272
SV	Branch-avoiding	7	67635895	242325214	332322809	0	0	100185787	953320	0	47474705	952246	952204	45570272
SV	Branch-avoiding	8	66410779	229338316	332322809	0	0	100186898	953264	0	47474706	952245	952204	45570272
SV	Branch-avoiding	9	66418022	234705990	332322808	0	0	100284338	953336	0	47474705	952250	952204	45570272
SV	Branch-avoiding	10	68928435	235291106	332322810	0	0	100241258	953355	0	47474705	952262	952204	45570272
SV	Branch-avoiding	11	67252167	231820964	332322810	0	0	99915693	953278	0	47474706	952250	952204	45570272
SV	Branch-avoiding	12	63806155	229166939	332322809	0	0	100345732	953319	0	47474706	952249	952204	45570272
SV	Branch-avoiding	13	62682883	231131691	332322810	0	0	100006231	953314	0	47474705	952248	952204	45570272
SV	Branch-avoiding	14	63007928	226082576	332322809	0	0	99967380	953283	0	47474705	952254	952204	45570272
SV	Branch-avoiding	15	61266545	227023007	332322809	0	0	100049297	953288	0	47474705	952251	952204	45570272
SV	Branch-avoiding	16	65132074	229197033	332322810	0	0	100244107	953311	0	47474705	952246	952204	45570272
SV	Branch-avoiding	17	65785948	231975177	332322809	0	0	100074324	953286	0	47474706	952254	952204	45570272
SV	Branch-avoiding	18	61778346	225368285	332322809	0	0	99875921	953286	0	47474705	952257	952204	45570272
SV	Branch-avoiding	19	65738159	228428988	332322809	0	0	99845417	953334	0	47474706	952247	952204	45570272
SV	Branch-avoiding	20	66059415	234115761	332322810	0	0	100273962	953315	0	47474706	952243	952204	45570272
SV	Branch-avoiding	21	65360637	248708187	332322809	0	0	100169361	953321	0	47474705	952254	952204	45570272
SV	Branch-avoiding	22	67219456	226235282	332322810	0	0	100116589	953298	0	47474705	952248	952204	45570272
SV	Branch-avoiding	23	66576843	232667350	332322810	0	0	100199999	953328	0	47474706	952248	952204	45570272
SV	Branch-avoiding	24	65585470	235885346	332322810	0	0	99876113	953312	0	47474705	952248	952204	45570272
SV	Branch-avoiding	25	65521399	235639057	332322809	0	0	100000590	953258	0	47474706	952249	952204	45570272
SV	Branch-avoiding	26	65116712	230486082	332322810	0	0	100495416	953280	0	47474705	952243	952204	45570272
SV	Branch-avoiding	27	64126013	232076786	332322809	0	0	100237969	953335	0	47474706	952249	952204	45570272
SV	Branch-avoiding	28	64259237	234641674	332322810	0	0	100268068	953294	0	47474706	952248	952204	45570272
SV	Branch-avoiding	29	65826008	227683740	332322809	0	0	99948590	953280	0	47474706	952247	952204	45570272
SV	Branch-avoiding	30	65254185	237639727	332322811	0	0	100358019	953348	0	47474706	952252	952204	45570272
SV	Branch-avoiding	31	66370303	239316101	332322809	0	0	100086997	953315	0	47474705	952251	952204	45570272
SV	Branch-avoiding	32	62023858	232941971	332322810	0	0	100487405	953265	0	47474705	952244	952204	45570272
SV	Branch-avoiding	33	63367242	228383977	332322809	0	0	99966280	953341	0	47474706	952239	952204	45570272
SV	Branch-avoiding	34	67406866	230187563	332322810	0	0	100492700	953309	0	47474707	952241	952204	45570272
SV	Branch-avoiding	35	66150608	222354527	332322810	0	0	100164853	953304	0	47474705	952246	952204	45570272
SV	Branch-avoiding	36	65335777	238715055	332322809	0	0	100165074	953284	0	47474705	952249	952204	45570272
SV	Branch-avoiding	37	65878609	229714799	332322810	0	0	100239834	953310	0	47474705	952248	952204	45570272
SV	Branch-avoiding	38	64792492	228243958	332322809	0	0	99899502	953251	0	47474706	952250	952204	45570272
SV	Branch-avoiding	39	65642359	235765337	332322809	0	0	100224283	953318	0	47474705	952243	952204	45570272
SV	Branch-avoiding	40	63179830	231928067	332322810	0	0	100484196	953341	0	47474706	952243	952204	45570272
SV	Branch-avoiding	41	65783999	234764090	332322809	0	0	99992030	953278	0	47474706	952245	952204	45570272
SV	Branch-avoiding	42	65792843	234743758	332322810	0	0	99926040	953293	0	47474705	952249	952204	45570272
