Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	597	2146	181	0	0	135	62	0	37	8	1	13
BFS/TD	Branch-based	1	2842	9347	1605	0	0	1129	209	0	407	67	13	186
BFS/TD	Branch-based	2	8046	28975	5160	0	0	2998	288	0	1355	146	44	629
BFS/TD	Branch-based	3	16306	58516	11168	0	0	6634	546	0	2949	298	92	1378
BFS/TD	Branch-based	4	30817	108159	22096	0	0	12307	836	0	5887	516	187	2752
BFS/TD	Branch-based	5	47940	171844	36425	0	0	19898	1454	0	9717	849	307	4547
BFS/TD	Branch-based	6	77173	256870	58160	0	0	31527	2101	0	15567	1300	495	7284
BFS/TD	Branch-based	7	103960	368500	84594	0	0	43875	2635	0	22679	1816	727	10608
BFS/TD	Branch-based	8	137303	478432	115789	0	0	59415	3643	0	31069	2474	1009	14521
BFS/TD	Branch-based	9	183765	642756	155410	0	0	79618	4790	0	41707	3294	1337	19512
BFS/TD	Branch-based	10	236241	823069	207583	0	0	106011	6230	0	55753	4342	1805	26067
BFS/TD	Branch-based	11	301058	1054180	269240	0	0	134711	8160	0	72375	5530	2341	33842
BFS/TD	Branch-based	12	377873	1323543	342000	0	0	170154	9913	0	92045	6911	2965	43053
BFS/TD	Branch-based	13	457121	1602034	418648	0	0	204134	11260	0	112861	8175	3646	52780
BFS/TD	Branch-based	14	539281	1889980	489895	0	0	241125	13301	0	132014	9647	4229	61773
BFS/TD	Branch-based	15	641774	2237777	582098	0	0	284739	15255	0	157021	11237	5051	73455
BFS/TD	Branch-based	16	738039	2585481	671020	0	0	328547	18051	0	181021	13023	5787	84719
BFS/TD	Branch-based	17	844239	2945456	771994	0	0	378730	20463	0	208303	14898	6692	97455
BFS/TD	Branch-based	18	949939	3333690	880330	0	0	431993	23068	0	237535	16971	7616	111147
BFS/TD	Branch-based	19	1057477	3724764	1006269	0	0	494000	26921	0	271422	19497	8700	127006
BFS/TD	Branch-based	20	1205396	4256097	1160097	0	0	569558	30329	0	313023	22393	10062	146445
BFS/TD	Branch-based	21	1362744	4772758	1321627	0	0	646057	33919	0	356779	25220	11440	166945
BFS/TD	Branch-based	22	1546281	5450621	1489412	0	0	723998	37884	0	402178	28308	12857	188227
BFS/TD	Branch-based	23	1722742	6028553	1672678	0	0	801939	40820	0	452069	31262	14404	211626
BFS/TD	Branch-based	24	1864423	6567271	1843262	0	0	885247	44347	0	498292	34259	15738	233403
BFS/TD	Branch-based	25	2043879	7176548	2023019	0	0	965689	48384	0	547033	37402	17340	256172
BFS/TD	Branch-based	26	2209071	7787397	2194297	0	0	1035005	51056	0	593762	40010	18791	278085
BFS/TD	Branch-based	27	2324525	8149012	2347025	0	0	1098213	52754	0	635611	42050	19917	297884
BFS/TD	Branch-based	28	2392452	8415142	2466393	0	0	1146735	53595	0	668518	43464	20875	313379
BFS/TD	Branch-based	29	2429358	8534376	2510621	0	0	1155016	53876	0	680877	43815	21316	319118
BFS/TD	Branch-based	30	2382955	8400571	2486801	0	0	1141543	52488	0	674510	43350	21198	316052
BFS/TD	Branch-based	31	2315778	8174319	2441987	0	0	1107750	49923	0	662884	41801	20805	310632
BFS/TD	Branch-based	32	2191381	7670676	2336137	0	0	1055359	47708	0	634397	39749	19824	297370
BFS/TD	Branch-based	33	2039920	7203912	2200877	0	0	986206	43445	0	597890	37029	18755	280185
BFS/TD	Branch-based	34	1870463	6552946	2024752	0	0	906490	39245	0	550045	34115	17330	257688
BFS/TD	Branch-based	35	1684834	5926489	1856291	0	0	830541	37559	0	504082	31555	15865	236171
BFS/TD	Branch-based	36	1541298	5420563	1743556	0	0	774422	34883	0	473795	29292	14801	222092
BFS/TD	Branch-based	37	1392812	4882892	1594490	0	0	707207	31246	0	433275	26760	13620	203013
BFS/TD	Branch-based	38	1274250	4500858	1442203	0	0	646650	30204	0	391502	24739	12386	183360
BFS/TD	Branch-based	39	1160432	4096906	1333514	0	0	590122	26506	0	362233	22501	11594	169518
BFS/TD	Branch-based	40	1032954	3629500	1191134	0	0	528791	24152	0	323379	20337	10302	151383
BFS/TD	Branch-based	41	932524	3302492	1085345	0	0	481397	21904	0	294699	18565	9464	137881
BFS/TD	Branch-based	42	816724	2874863	966995	0	0	428900	19428	0	262504	16581	8499	122748
BFS/TD	Branch-based	43	720806	2553545	865775	0	0	383692	17839	0	234967	14868	7576	109903
BFS/TD	Branch-based	44	639232	2254491	780625	0	0	338857	15136	0	212095	13154	6884	99159
BFS/TD	Branch-based	45	535785	1877684	669413	0	0	287883	12076	0	182115	10944	5877	85176
BFS/TD	Branch-based	46	436960	1537436	550346	0	0	236811	10337	0	149619	9139	4790	70015
BFS/TD	Branch-based	47	356770	1255490	467855	0	0	199222	8429	0	127275	7648	4100	59533
BFS/TD	Branch-based	48	284145	1007305	385432	0	0	160796	6346	0	105043	6062	3361	49156
BFS/TD	Branch-based	49	203509	722922	289776	0	0	117126	4103	0	79193	4310	2563	37029
BFS/TD	Branch-based	50	128542	452244	183148	0	0	74488	2613	0	50047	2711	1634	23385
BFS/TD	Branch-based	51	78148	277129	114336	0	0	43964	1217	0	31355	1561	1024	14649
BFS/TD	Branch-based	52	32869	117853	54506	0	0	20022	329	0	15021	653	504	7002
BFS/TD	Branch-based	53	9215	31922	14751	0	0	4917	52	0	4079	158	137	1898
BFS/TD	Branch-based	54	822	2633	1712	0	0	564	14	0	471	21	18	213
BFS/TD	Branch-avoiding	0	531	2255	209	0	0	59	45	0	24	7	1	13
BFS/TD	Branch-avoiding	1	2771	9859	2405	0	0	482	419	0	221	16	13	186
BFS/TD	Branch-avoiding	2	9741	31081	8031	0	0	1574	1351	0	726	48	44	629
BFS/TD	Branch-avoiding	3	17241	60545	17499	0	0	3420	2979	0	1571	93	92	1378
BFS/TD	Branch-avoiding	4	33629	117502	34937	0	0	6781	5910	0	3135	189	187	2752
BFS/TD	Branch-avoiding	5	53291	186387	57677	0	0	11114	9837	0	5170	298	307	4547
BFS/TD	Branch-avoiding	6	81470	285181	92401	0	0	17671	15569	0	8283	511	495	7284
BFS/TD	Branch-avoiding	7	116494	402257	134609	60	0	26046	22871	0	12071	737	727	10608
BFS/TD	Branch-avoiding	8	157085	540850	184385	0	0	35823	31274	0	16548	1025	1009	14521
BFS/TD	Branch-avoiding	9	205479	716027	247557	47	0	47944	42163	0	22195	1356	1337	19512
BFS/TD	Branch-avoiding	10	264524	930121	330897	14	0	64011	56090	0	29686	1844	1805	26067
BFS/TD	Branch-avoiding	11	339838	1183587	429557	12	0	82699	72533	0	38533	2381	2341	33842
BFS/TD	Branch-avoiding	12	425346	1486237	546329	54	0	105201	92184	0	48992	2996	2965	43053
BFS/TD	Branch-avoiding	13	519414	1809313	669863	56	0	128949	112961	0	60081	3683	3646	52780
BFS/TD	Branch-avoiding	14	604496	2121180	783609	61	0	150606	132246	0	70241	4250	4229	61773
BFS/TD	Branch-avoiding	15	726285	2542780	932014	97	0	178930	157772	0	83566	5074	5051	73455
BFS/TD	Branch-avoiding	16	856761	2930451	1074541	125	0	206427	181872	0	96302	5870	5787	84719
BFS/TD	Branch-avoiding	17	955924	3352755	1236423	24	0	237616	209407	0	110848	6764	6692	97455
BFS/TD	Branch-avoiding	18	1084269	3805870	1409967	564	0	271963	239207	0	126388	7689	7616	111147
BFS/TD	Branch-avoiding	19	1221345	4255414	1611116	131	0	310918	273227	0	144416	8773	8700	127006
BFS/TD	Branch-avoiding	20	1393190	4884485	1858003	205	0	358344	315187	0	166578	10148	10062	146445
