Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	569	1052	581	190	0	190	142	0	117	6	1	53
BFS/TD	Branch-based	1	3737	11655	6219	209	0	2952	1770	0	1415	154	53	650
BFS/TD	Branch-based	2	56095	196747	105908	1156	0	58565	26687	0	25707	3761	366	12483
BFS/TD	Branch-based	3	388472	1374388	845172	107	0	386776	66694	0	224159	20051	4942	107133
BFS/TD	Branch-based	4	588284	2073111	1237484	34	0	561142	46607	0	330423	28295	15260	149947
BFS/TD	Branch-based	5	294657	1002959	536683	0	0	281360	13480	0	140461	15909	11738	58488
BFS/TD	Branch-based	6	65239	230234	119808	0	0	68501	2870	0	30852	3980	3282	12139
BFS/TD	Branch-based	7	12169	42129	22269	0	0	12904	506	0	5693	770	658	2184
BFS/TD	Branch-based	8	2209	7461	3394	0	0	2088	130	0	841	123	120	296
BFS/TD	Branch-based	9	542	1931	823	0	0	506	45	0	205	37	27	71
BFS/TD	Branch-based	10	237	673	183	0	0	145	35	0	41	12	5	11
BFS/TD	Branch-based	11	186	484	178	0	0	120	26	0	43	9	5	12
BFS/TD	Branch-based	12	100	223	58	0	0	36	14	0	13	3	1	1
BFS/TD	Branch-avoiding	0	415	1058	689	0	0	181	136	0	64	8	1	53
BFS/TD	Branch-avoiding	1	2991	9838	8373	113	0	1683	1429	0	765	56	53	650
BFS/TD	Branch-avoiding	2	38377	136946	153499	4799	0	27311	25701	0	13224	379	366	12483
BFS/TD	Branch-avoiding	3	354017	1290383	1335059	13502	0	245836	225140	0	117026	5057	4942	107133
BFS/TD	Branch-avoiding	4	622839	2245793	1952007	1932	0	399043	333374	0	180476	15836	15260	149947
BFS/TD	Branch-avoiding	5	304838	1077942	819279	36	0	197783	144009	0	81973	12147	11738	58488
BFS/TD	Branch-avoiding	6	67817	238386	178531	0	0	48327	31788	0	18712	3267	3282	12139
BFS/TD	Branch-avoiding	7	12530	43532	32831	0	0	9232	5796	0	3509	625	658	2184
BFS/TD	Branch-avoiding	8	2114	7395	4795	0	0	1519	849	0	545	101	120	296
BFS/TD	Branch-avoiding	9	559	1930	1165	0	0	410	230	0	134	37	27	71
BFS/TD	Branch-avoiding	10	182	491	225	0	0	97	60	0	30	10	5	11
BFS/TD	Branch-avoiding	11	174	462	237	0	0	94	54	0	31	9	5	12
BFS/TD	Branch-avoiding	12	106	175	65	0	0	35	19	0	12	3	1	1
