Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	907	2703	851	188	0	260	176	0	171	12	1	80
BFS/TD	Branch-based	1	13144	45155	43517	27	0	13695	1121	0	12105	221	80	5968
BFS/TD	Branch-based	2	41936	149253	173849	70	0	53779	2640	0	48825	702	300	24108
BFS/TD	Branch-based	3	93169	333662	408551	325	0	125742	5334	0	115011	1537	684	56817
BFS/TD	Branch-based	4	185388	652236	790565	211	0	242025	9283	0	222813	2749	1317	110085
BFS/TD	Branch-based	5	316911	1095342	1334624	575	0	405583	13156	0	376587	4342	2253	186036
BFS/TD	Branch-based	6	431704	1513820	1890698	1075	0	572209	16254	0	534015	5689	3267	263736
BFS/TD	Branch-based	7	533030	1875341	2321573	1052	0	703676	20345	0	655767	7134	3945	323934
BFS/TD	Branch-based	8	662005	2311607	2837831	933	0	858039	23033	0	801837	8524	4848	396066
BFS/TD	Branch-based	9	775974	2721300	3309341	638	0	1003635	26896	0	935110	10099	5616	461934
BFS/TD	Branch-based	10	945742	3175133	3858414	1542	0	1171504	33143	0	1090125	11881	6534	538524
BFS/TD	Branch-based	11	1083866	4075691	4626041	1155	0	1404643	39622	0	1307115	14179	7788	645765
BFS/TD	Branch-based	12	1361352	4522302	5499986	1704	0	1670760	45673	0	1554310	16944	9255	767895
BFS/TD	Branch-based	13	1541249	5283722	6414000	3507	0	1948162	54015	0	1812429	19452	10710	895500
BFS/TD	Branch-based	14	1796104	6459433	7643975	2758	0	2320385	62902	0	2160243	22982	12786	1067331
BFS/TD	Branch-based	15	2113829	7801364	8994426	5455	0	2728271	76145	0	2541718	26731	14919	1255935
BFS/TD	Branch-based	16	2638477	9050951	10749776	5089	0	3252289	89670	0	3038266	32193	17883	1501245
BFS/TD	Branch-based	17	2979833	10356524	12454359	5030	0	3773630	101218	0	3520431	37019	20730	1739481
BFS/TD	Branch-based	18	3448191	12834448	14148645	6199	0	4288489	113568	0	3999250	41868	23550	1976070
BFS/TD	Branch-based	19	3928914	13828805	16144125	6677	0	4893367	129590	0	4563478	47573	26871	2254863
BFS/TD	Branch-based	20	4697237	16913593	18226140	8009	0	5521566	144834	0	5152654	54020	30444	2545878
BFS/TD	Branch-based	21	5034910	18163173	20193225	8880	0	6114788	161399	0	5708261	59395	33504	2820621
BFS/TD	Branch-based	22	5764254	19632073	22506973	12168	0	6802650	168243	0	6364360	64554	37932	3144243
BFS/TD	Branch-based	23	5854257	20413423	23454321	14376	0	7101556	182317	0	6631102	67728	39303	3276243
BFS/TD	Branch-based	24	6539999	23357420	25229185	11800	0	7633854	196815	0	7133321	72703	42516	3524139
BFS/TD	Branch-based	25	6722196	23663042	26590308	14557	0	8040862	202299	0	7518683	76626	45003	3714333
BFS/TD	Branch-based	26	6937149	24496878	27376603	19303	0	8287438	211370	0	7740064	79481	46635	3823392
BFS/TD	Branch-based	27	7365218	25311431	28529314	19157	0	8609988	204551	0	8068493	79768	48822	3985419
BFS/TD	Branch-based	28	6803372	24120610	27029599	15769	0	8134668	166692	0	7647977	73907	47706	3776277
BFS/TD	Branch-based	29	5686832	20104559	22568541	11417	0	6782878	149068	0	6385114	62237	39519	3153033
BFS/TD	Branch-based	30	4781343	17881898	19336929	12473	0	5831620	130807	0	5469815	54183	34026	2700876
BFS/TD	Branch-based	31	4250162	15314269	17200104	9383	0	5189087	119217	0	4864888	48724	30165	2402274
BFS/TD	Branch-based	32	3885254	13802196	15731493	7428	0	4750867	112320	0	4448872	44809	27498	2196933
BFS/TD	Branch-based	33	3630612	12840895	14758233	5450	0	4460288	105125	0	4173976	42444	25980	2061003
BFS/TD	Branch-based	34	3253443	11711274	13421742	5169	0	4053372	90259	0	3796605	38157	23790	1874508
BFS/TD	Branch-based	35	2885515	10373887	11821092	6178	0	3573869	82696	0	3343258	33968	20748	1650876
BFS/TD	Branch-based	36	2651974	9272054	10864130	3200	0	3286008	74382	0	3072808	31241	19146	1517253
BFS/TD	Branch-based	37	2398887	8254073	9773340	3283	0	2956753	66506	0	2764233	28494	17286	1364826
BFS/TD	Branch-based	38	2167297	7539195	8894238	3278	0	2696210	66744	0	2514556	26615	15552	1241721
BFS/TD	Branch-based	39	2149625	7699006	8986973	3552	0	2724297	67897	0	2540944	26922	15543	1254924
BFS/TD	Branch-based	40	2176089	7948086	9061377	3159	0	2741147	66561	0	2562057	26815	15678	1265346
BFS/TD	Branch-based	41	2169596	8141857	9030254	3028	0	2733302	64558	0	2553508	26428	15711	1261038
BFS/TD	Branch-based	42	2119476	7327463	8612313	2878	0	2600549	56659	0	2436273	24987	15279	1202853
BFS/TD	Branch-based	43	1830916	6293899	7488734	2818	0	2265651	52001	0	2117926	22191	13170	1045788
BFS/TD	Branch-based	44	1820526	6042756	6910341	1521	0	2087458	47107	0	1954593	20271	12159	965133
BFS/TD	Branch-based	45	1420096	5016427	6038699	1686	0	1821881	33653	0	1709145	16882	10926	843642
BFS/TD	Branch-based	46	1059304	3995863	4484318	969	0	1354630	31707	0	1268146	13390	7968	626100
BFS/TD	Branch-based	47	998085	3771601	4177725	1127	0	1265450	30529	0	1181493	12479	7299	583443
BFS/TD	Branch-based	48	931921	3413644	3883010	768	0	1175876	26562	0	1098351	11395	6864	542307
BFS/TD	Branch-based	49	817237	3292271	3441569	227	0	1041192	23388	0	973521	10070	6060	480696
BFS/TD	Branch-based	50	770250	2547474	3063668	1354	0	927365	21915	0	866422	9008	5352	427854
BFS/TD	Branch-based	51	686911	2328272	2843987	260	0	859019	18407	0	804627	8276	5043	397266
BFS/TD	Branch-based	52	556088	1909719	2361687	861	0	707786	12352	0	668493	6350	4218	330024
BFS/TD	Branch-based	53	350508	1161715	1513067	202	0	447594	1624	0	429291	3397	3099	211542
BFS/TD	Branch-based	54	42075	122834	179006	0	0	53009	14	0	50787	417	414	24975
BFS/TD	Branch-avoiding	0	1059	3259	1013	0	0	190	177	0	91	5	1	80
BFS/TD	Branch-avoiding	1	12712	44147	72459	3	0	12516	12162	0	6137	84	80	5968
BFS/TD	Branch-avoiding	2	45686	161187	292339	311	0	50222	48960	0	24717	303	300	24108
BFS/TD	Branch-avoiding	3	102570	364830	688687	481	0	118072	115313	0	58194	687	684	56817
BFS/TD	Branch-avoiding	4	199098	705721	1334234	768	0	228818	223551	0	112728	1320	1317	110085
BFS/TD	Branch-avoiding	5	348169	1178784	2255005	1971	0	386637	377657	0	190551	2256	2253	186036
BFS/TD	Branch-avoiding	6	474007	1665712	3197545	1793	0	548435	535426	0	270279	3270	3267	263736
