Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	Stall.RS	Stall.SB	Stall.ROB	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	257	550	331	72	62	14	3	0	67	9	1	28
BFS/TD	Branch-based	1	1632	5175	3657	823	536	1175	153	0	791	72	28	363
BFS/TD	Branch-based	2	24789	86476	58906	14538	5446	4607	180	0	14269	2175	265	6865
BFS/TD	Branch-based	3	151927	529572	437703	117167	19328	33961	95	0	114443	11590	2720	54497
BFS/TD	Branch-based	4	292744	1004918	814771	225720	19730	109002	37	0	216055	19825	9661	98362
BFS/TD	Branch-based	5	192987	676470	493171	139029	7676	89608	14	0	129163	14243	9862	54715
BFS/TD	Branch-based	6	58889	204011	138709	39372	1892	22688	0	0	35533	4764	3835	13927
BFS/TD	Branch-based	7	13136	45593	31529	9008	324	4442	0	0	8061	1106	943	3083
BFS/TD	Branch-based	8	2269	7175	4646	1318	84	661	0	0	1155	177	159	414
BFS/TD	Branch-based	9	455	1610	1097	316	16	87	0	0	273	44	39	93
BFS/TD	Branch-based	10	115	397	185	54	8	25	0	0	45	10	5	13
BFS/TD	Branch-based	11	49	168	65	20	6	0	0	0	15	3	1	2
BFS/TD	Branch-avoiding	0	220	621	389	73	63	246	0	0	39	4	1	28
BFS/TD	Branch-avoiding	1	1800	4954	4679	824	733	2761	0	0	428	49	28	363
BFS/TD	Branch-avoiding	2	16593	56472	85073	14539	13737	23322	0	0	7404	335	265	6865
BFS/TD	Branch-avoiding	3	133334	465538	681207	117168	109001	202080	0	0	59946	2900	2720	54497
BFS/TD	Branch-avoiding	4	315274	1104900	1276997	225721	196731	543686	0	0	117693	10431	9661	98362
BFS/TD	Branch-avoiding	5	228628	799520	755243	139030	109437	402757	0	0	74448	10612	9862	54715
BFS/TD	Branch-avoiding	6	71322	241003	205517	39373	27861	119513	0	0	21606	3930	3835	13927
BFS/TD	Branch-avoiding	7	15244	53498	46469	9009	6173	24501	0	0	4978	914	943	3083
BFS/TD	Branch-avoiding	8	2321	8083	6601	1319	835	3848	0	0	741	134	159	414
BFS/TD	Branch-avoiding	9	498	1748	1549	317	193	674	0	0	180	30	39	93
BFS/TD	Branch-avoiding	10	112	435	249	55	33	133	0	0	32	5	5	13
BFS/TD	Branch-avoiding	11	48	162	77	21	11	10	0	0	13	3	1	2
