Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	RESOURCE_STALLS.RS	RESOURCE_STALLS.SB	RESOURCE_STALLS.ROB	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-avoiding	2	39814	134075	292339	49130	48223	33987	2170	0	24717	303	300	24108
BFS/TD	Branch-avoiding	3	85580	297994	688687	115700	113641	64747	1520	0	58194	687	684	56817
BFS/TD	Branch-avoiding	4	164887	575714	1334233	224142	220177	115816	2772	0	112728	1320	1317	110085
BFS/TD	Branch-avoiding	5	275100	968754	2255005	378845	372079	191041	6526	0	190551	2256	2253	186036
BFS/TD	Branch-avoiding	6	391599	1370293	3197545	537287	527479	265741	6447	0	270279	3270	3267	263736
BFS/TD	Branch-avoiding	7	483161	1702231	3926701	659717	647875	343224	9772	0	331833	3948	3945	323934
BFS/TD	Branch-avoiding	8	590388	2055357	4801315	806690	792139	408367	8306	0	405771	4851	4848	396066
BFS/TD	Branch-avoiding	9	692776	2406356	5599412	940730	923875	478260	12475	0	473175	5620	5616	461934
BFS/TD	Branch-avoiding	10	813213	2816236	6527671	1096664	1077055	576769	17867	0	551602	6538	6534	538524
BFS/TD	Branch-avoiding	11	969666	3406536	7827103	1314915	1291537	697940	19142	0	661350	7792	7788	645765
BFS/TD	Branch-avoiding	12	1155790	4058760	9307333	1563569	1535797	818255	20291	0	786414	9261	9255	767895
BFS/TD	Branch-avoiding	13	1352975	4732794	10853144	1823144	1791007	1001390	32423	0	916929	10713	10710	895500
BFS/TD	Branch-avoiding	14	1636558	5707734	12935875	2173041	2134669	1250755	32534	0	1092913	12790	12786	1067331
BFS/TD	Branch-avoiding	15	1932590	6729705	15220453	2556641	2511877	1483111	41626	0	1285782	14923	14919	1255935
BFS/TD	Branch-avoiding	16	2314767	8090819	18193814	3056160	3002497	1800777	53572	0	1537021	17886	17883	1501245
BFS/TD	Branch-avoiding	17	2700661	9454801	21081116	3541166	3478969	2168324	54630	0	1780951	20734	20730	1739481
BFS/TD	Branch-avoiding	18	3098441	10839148	23948384	4022811	3952147	2550524	70981	0	2023179	23554	23550	1976070
BFS/TD	Branch-avoiding	19	3577607	12504573	27327109	4590360	4509733	3071904	76293	0	2308615	26876	26871	2254863
BFS/TD	Branch-avoiding	20	4064383	14193752	30855020	5183109	5091763	3552980	83850	0	2606776	30449	30444	2545878
BFS/TD	Branch-avoiding	21	4533918	15837098	34182537	5741775	5641249	3987178	91084	0	2887639	33509	33504	2820621
BFS/TD	Branch-avoiding	22	5044071	17663351	38110280	6402303	6288493	4475619	92179	0	3220118	37936	37932	3144243
BFS/TD	Branch-avoiding	23	5263429	18465941	39707990	6670423	6552493	4737318	103114	0	3354859	39308	39303	3276243
BFS/TD	Branch-avoiding	24	5689230	19844995	42714873	7175847	7048285	5087929	103796	0	3609181	42521	42516	3524139
BFS/TD	Branch-avoiding	25	6026344	21101110	45022070	7563703	7428673	5489832	107848	0	3804350	45008	45003	3714333
BFS/TD	Branch-avoiding	26	6225859	21785843	46347099	7786710	7646791	5722443	105224	0	3916672	46620	46635	3823392
BFS/TD	Branch-avoiding	27	6423430	22502729	48313292	8117332	7970845	5759951	111781	0	4083074	48800	48822	3985419
BFS/TD	Branch-avoiding	28	6059492	21218063	45792429	7695693	7552561	5355989	78417	0	3871700	47693	47706	3776277
BFS/TD	Branch-avoiding	29	5047187	17643119	38231630	6424651	6306073	4432294	71224	0	3232081	39524	39519	3153033
BFS/TD	Branch-avoiding	30	4295816	15080779	32750816	5503851	5401759	3754548	59622	0	2768938	34014	34026	2700876
BFS/TD	Branch-avoiding	31	3848068	13436791	29128982	4895064	4804555	3468538	68145	0	2462614	30163	30165	2402274
BFS/TD	Branch-avoiding	32	3509251	12292192	26638220	4476381	4393873	3133043	56926	0	2251939	27504	27498	2196933
BFS/TD	Branch-avoiding	33	3301878	11500467	24991880	4199960	4122013	2905670	42685	0	2112973	25961	25980	2061003
BFS/TD	Branch-avoiding	34	2987370	10450762	22732040	3820407	3749023	2588505	54722	0	1922097	23782	23790	1874508
BFS/TD	Branch-avoiding	35	2638474	9207020	20018035	3364017	3301759	2298299	52433	0	1692382	20746	20748	1650876
BFS/TD	Branch-avoiding	36	2424672	8465878	18398540	3091958	3034513	2099497	40487	0	1555555	19141	19146	1517253
BFS/TD	Branch-avoiding	37	2168972	7584017	16550815	2781531	2729659	1900795	41223	0	1399407	17288	17286	1364826
BFS/TD	Branch-avoiding	38	1981112	6934879	15056216	2530112	2483449	1702393	38357	0	1272835	15550	15552	1241721
BFS/TD	Branch-avoiding	39	1990928	6985059	15214561	2556498	2509855	1694252	33835	0	1286019	15550	15543	1254924
BFS/TD	Branch-avoiding	40	2009061	7010646	15340976	2577740	2530699	1674088	38580	0	1296712	15683	15678	1265346
BFS/TD	Branch-avoiding	41	1993128	6969121	15289609	2569230	2522083	1674655	34267	0	1292469	15716	15711	1261038
BFS/TD	Branch-avoiding	42	1896251	6608748	14587070	2451557	2405713	1561672	28827	0	1233421	15282	15279	1202853
BFS/TD	Branch-avoiding	43	1644459	5766661	12681199	2131107	2091583	1372388	30139	0	1072137	13174	13170	1045788
BFS/TD	Branch-avoiding	44	1520414	5325865	11703230	1966757	1930273	1280323	23160	0	989460	12155	12159	965133
BFS/TD	Branch-avoiding	45	1333678	4618108	10233007	1720083	1687291	1119310	20606	0	865504	10924	10926	843642
BFS/TD	Branch-avoiding	46	999434	3491807	7592923	1276118	1252207	861085	16283	0	642045	7967	7968	626100
BFS/TD	Branch-avoiding	47	919280	3213719	7074349	1188797	1166893	760049	13816	0	598050	7302	7299	583443
BFS/TD	Branch-avoiding	48	848718	2970045	6576368	1105220	1084621	709920	16485	0	556044	6869	6864	542307
BFS/TD	Branch-avoiding	49	764568	2636789	5828995	979586	961399	631653	13581	0	492826	6064	6060	480696
BFS/TD	Branch-avoiding	50	667034	2322065	5187811	871785	855715	532144	14620	0	438567	5357	5352	427854
BFS/TD	Branch-avoiding	51	603389	2109209	4817665	809675	794539	435589	10678	0	407361	5046	5043	397266
BFS/TD	Branch-avoiding	52	490040	1716819	4002511	672716	660055	328246	5940	0	338469	4220	4218	330024
BFS/TD	Branch-avoiding	53	310201	1082563	2569537	432395	423091	204044	1935	0	217749	3088	3099	211542
BFS/TD	Branch-avoiding	54	36082	126928	303883	51206	49957	21429	0	0	25812	413	414	24975
