Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	12543957	20682299	18059950	137028	0	0	677131	109304	4508852	499898	299068	1955352
SV	Branch-based	1	10768707	18276710	17439060	152663	0	0	675978	109409	4508852	423039	299068	1955352
SV	Branch-based	2	9221803	15614503	16796125	185051	0	0	674820	109669	4508851	339775	299068	1955352
SV	Branch-based	3	8666629	14685328	16694436	186000	0	0	674818	109842	4508851	306532	299068	1955352
SV	Branch-based	4	8724052	14552676	16679631	167672	0	0	674936	109694	4508851	301672	299068	1955352
SV	Branch-based	5	8602766	14483533	16678317	144843	0	0	675061	109375	4508851	300903	299068	1955352
SV	Branch-based	6	8597685	14475955	16678185	134544	0	0	674606	109794	4508852	301037	299068	1955352
SV	Branch-based	7	8569869	14482234	16678176	132913	0	0	674833	109777	4508851	301132	299068	1955352
SV	Branch-avoiding	0	8204676	12763201	17874451	1543394	0	18	668447	110661	2553499	319421	299068	1955352
SV	Branch-avoiding	1	7565048	12758973	17874451	1540698	0	0	667732	110302	2553499	319976	299068	1955352
SV	Branch-avoiding	2	7543191	12741879	17874451	1553907	0	0	667311	109958	2553499	319743	299068	1955352
SV	Branch-avoiding	3	7534340	12752583	17874451	1535542	0	0	667496	109779	2553498	319413	299068	1955352
SV	Branch-avoiding	4	7529186	12747710	17874451	1538201	0	0	667525	109736	2553499	320033	299068	1955352
SV	Branch-avoiding	5	7527050	12744630	17874450	1541454	0	0	667327	110199	2553499	319613	299068	1955352
SV	Branch-avoiding	6	7528392	12754223	17874451	1540535	0	0	667074	109880	2553499	319575	299068	1955352
SV	Branch-avoiding	7	7521707	12758022	17874451	1539332	0	0	667288	109582	2553499	319945	299068	1955352
