Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	1300384	2150739	2133773	2588	0	0	3848	0	542454	54534	31164	240058
SV	Branch-based	1	1141428	1935143	2043883	3053	0	0	3717	0	542454	45453	31164	240058
SV	Branch-based	2	967185	1644367	1996915	3312	0	0	4080	0	542453	34164	31164	240058
SV	Branch-based	3	952860	1598616	1992410	3160	0	0	3769	0	542453	32115	31164	240058
SV	Branch-based	4	937344	1592861	1992082	3046	0	0	3648	0	542453	31902	31164	240058
SV	Branch-based	5	936149	1591123	1992076	2867	0	0	3693	0	542454	31809	31164	240058
SV	Branch-avoiding	0	775021	1309981	2116736	18270	0	0	3671	0	302395	33369	31164	240058
SV	Branch-avoiding	1	788949	1307768	2116735	17361	0	0	4382	0	302395	33337	31164	240058
SV	Branch-avoiding	2	773312	1305835	2116735	17679	0	0	3711	0	302395	33255	31164	240058
SV	Branch-avoiding	3	771976	1306104	2116735	17622	0	0	3658	0	302395	33233	31164	240058
SV	Branch-avoiding	4	771300	1307774	2116736	18201	0	0	3628	0	302396	33257	31164	240058
SV	Branch-avoiding	5	772186	1308680	2116735	17922	0	0	3570	0	302395	33473	31164	240058
