Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	Stall.RS	Stall.SB	Stall.ROB	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	189314820	320042159	554562121	155309915	2722676	396937	0	0	155303752	2507985	943696	76708152
SV	Branch-based	1	148547581	251885235	548285405	155308463	630441	494503	0	0	155303743	1194787	943696	76708152
SV	Branch-based	2	136301218	232216311	546506081	155308214	37334	523821	0	0	155303739	946647	943696	76708152
SV	Branch-based	3	136488942	231667758	546394088	155308135	3	500469	0	0	155303739	943718	943696	76708152
SV	Branch-avoiding	0	143580335	242945662	550168877	155308424	943700	34165343	0	0	78595589	940986	943696	76708152
SV	Branch-avoiding	1	143519342	242924135	550168877	155308336	943700	34423184	0	0	78595588	940925	943696	76708152
SV	Branch-avoiding	2	143572333	242753240	550168878	155308457	943700	34246897	0	0	78595589	940906	943696	76708152
SV	Branch-avoiding	3	143522809	243011817	550168877	155308421	943700	34233398	0	0	78595589	940908	943696	76708152
