Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	54	97959942	165606593	328514691	299264	0	0	699232	354675	93044986	952366	952204	45570272
SV	Branch-based	55	97905898	165603155	328514608	298878	0	0	700149	354654	93044985	952307	952204	45570272
SV	Branch-based	56	97907760	165721813	328514481	296198	0	0	699710	351644	93044986	952285	952204	45570272
SV	Branch-based	57	97887735	165534131	328514356	297107	0	0	699135	352939	93044985	952219	952204	45570272
SV	Branch-based	58	97922793	165641675	328513998	296884	0	0	699136	353900	93044986	952213	952204	45570272
SV	Branch-avoiding	0	90288950	151453661	332322816	10718789	0	0	670251	334149	47474712	828697	952204	45570272
SV	Branch-avoiding	1	90229312	151417633	332322815	10752023	0	0	672522	333576	47474711	829178	952204	45570272
SV	Branch-avoiding	2	90166320	151432917	332322816	10689633	0	0	670494	330868	47474712	829030	952204	45570272
SV	Branch-avoiding	3	89462327	151503247	332322815	10719584	0	0	671894	330240	47474711	828790	952204	45570272
SV	Branch-avoiding	4	90071702	151710592	332322816	10688130	0	0	671730	332327	47474712	828799	952204	45570272
SV	Branch-avoiding	5	90172189	152559847	332322815	10643340	0	0	675765	332264	47474711	828985	952204	45570272
SV	Branch-avoiding	6	90197929	152497390	332322816	10681220	0	0	676192	333152	47474712	828884	952204	45570272
SV	Branch-avoiding	7	90161139	152634782	332322815	10718717	0	0	676149	334747	47474712	828860	952204	45570272
SV	Branch-avoiding	8	90199990	152739043	332322816	10642886	0	0	674859	334831	47474711	829028	952204	45570272
SV	Branch-avoiding	9	90179078	152634943	332322816	10697893	0	0	673083	335973	47474712	828926	952204	45570272
SV	Branch-avoiding	10	90165381	152497253	332322815	10687975	0	0	670599	331153	47474711	829125	952204	45570272
SV	Branch-avoiding	11	90339736	152531815	332322816	10706897	0	0	670873	332523	47474712	828911	952204	45570272
SV	Branch-avoiding	12	90202444	152559847	332322815	10737491	0	0	670931	332183	47474711	829084	952204	45570272
SV	Branch-avoiding	13	90148585	152492696	332322816	10636271	0	0	670083	333688	47474712	829019	952204	45570272
SV	Branch-avoiding	14	89546164	152658223	332322815	10706328	0	0	671467	335179	47474711	828966	952204	45570272
SV	Branch-avoiding	15	90071869	152576836	332322816	10649436	0	0	672806	332916	47474712	828934	952204	45570272
SV	Branch-avoiding	16	90232056	152627146	332322815	10668487	0	0	670820	332757	47474712	828947	952204	45570272
SV	Branch-avoiding	17	90242990	152541164	332322816	10662882	0	0	668705	333491	47474711	829247	952204	45570272
SV	Branch-avoiding	18	90174773	152689536	332322816	10692349	0	0	671931	333788	47474712	829308	952204	45570272
SV	Branch-avoiding	19	90150366	152647987	332322815	10714162	0	0	671759	330744	47474711	829751	952204	45570272
SV	Branch-avoiding	20	90149234	152514174	332322816	10703053	0	0	671960	332495	47474712	829607	952204	45570272
SV	Branch-avoiding	21	90184087	152546697	332322815	10704008	0	0	668171	332661	47474711	829025	952204	45570272
SV	Branch-avoiding	22	90284570	152645267	332322816	10751701	0	0	670323	332186	47474712	828781	952204	45570272
SV	Branch-avoiding	23	90193962	152563515	332322815	10680435	0	0	670027	335751	47474711	829108	952204	45570272
SV	Branch-avoiding	24	90178718	152546783	332322816	10680381	0	0	670429	331377	47474712	828918	952204	45570272
SV	Branch-avoiding	25	90191501	152619604	332322815	10674525	0	0	671134	333604	47474711	828987	952204	45570272
SV	Branch-avoiding	26	90149952	152542752	332322816	10704453	0	0	672429	335172	47474712	829058	952204	45570272
SV	Branch-avoiding	27	90152562	152563372	332322816	10687899	0	0	671499	331582	47474712	828935	952204	45570272
SV	Branch-avoiding	28	90208645	152281375	332322815	10746558	0	0	670204	334481	47474711	828803	952204	45570272
SV	Branch-avoiding	29	90141897	152598992	332322816	10680096	0	0	671940	332462	47474712	828919	952204	45570272
SV	Branch-avoiding	30	90159466	152660141	332322815	10729924	0	0	672739	332928	47474711	829169	952204	45570272
SV	Branch-avoiding	31	90184221	152531674	332322816	10713745	0	0	669890	334435	47474712	828984	952204	45570272
SV	Branch-avoiding	32	90128046	152572840	332322815	10729062	0	0	670479	333602	47474711	829443	952204	45570272
SV	Branch-avoiding	33	90261865	152618349	332322816	10670593	0	0	672511	332260	47474712	829006	952204	45570272
SV	Branch-avoiding	34	90189149	152510083	332322815	10738650	0	0	672191	334159	47474711	828979	952204	45570272
SV	Branch-avoiding	35	90177185	152456546	332322816	10723540	0	0	671502	333629	47474712	828718	952204	45570272
SV	Branch-avoiding	36	90164953	152653820	332322815	10645060	0	0	672867	333943	47474712	829163	952204	45570272
SV	Branch-avoiding	37	90255117	152550873	332322815	10673531	0	0	674114	332747	47474711	828858	952204	45570272
SV	Branch-avoiding	38	90222041	152549071	332322816	10708156	0	0	670234	332735	47474712	829178	952204	45570272
SV	Branch-avoiding	39	90173049	151953191	332322815	10712580	0	0	670591	333185	47474711	829035	952204	45570272
SV	Branch-avoiding	40	90182910	151371663	332322816	10674273	0	0	671016	332838	47474712	828909	952204	45570272
SV	Branch-avoiding	41	90142137	151563083	332322815	10772752	0	0	671405	332579	47474711	829071	952204	45570272
SV	Branch-avoiding	42	90163540	151503719	332322816	10702094	0	0	672044	331751	47474712	829093	952204	45570272
SV	Branch-avoiding	43	89501944	151891564	332322815	10677020	0	0	670746	331981	47474711	828950	952204	45570272
SV	Branch-avoiding	44	89686673	152513936	332322816	10706209	0	0	670033	334603	47474712	828940	952204	45570272
SV	Branch-avoiding	45	90166042	152575488	332322815	10668082	0	0	671454	332291	47474712	829036	952204	45570272
SV	Branch-avoiding	46	90155261	152593598	332322816	10692290	0	0	670959	332635	47474711	828896	952204	45570272
SV	Branch-avoiding	47	90167582	152713623	332322815	10698360	0	0	672023	333040	47474712	828801	952204	45570272
SV	Branch-avoiding	48	90169021	152542407	332322816	10697712	0	0	673192	332321	47474711	828979	952204	45570272
SV	Branch-avoiding	49	90159584	152570060	332322816	10715955	0	0	669223	332453	47474712	828964	952204	45570272
SV	Branch-avoiding	50	90214707	152578782	332322815	10710163	0	0	669047	332782	47474711	828836	952204	45570272
SV	Branch-avoiding	51	90170080	152519658	332322816	10705397	0	0	672299	332384	47474712	828910	952204	45570272
SV	Branch-avoiding	52	90151982	152272269	332322815	10701325	0	0	670518	334110	47474711	828992	952204	45570272
SV	Branch-avoiding	53	90119875	152562621	332322816	10694994	0	0	671324	334301	47474712	828841	952204	45570272
SV	Branch-avoiding	54	90209927	152487476	332322815	10707143	0	0	672932	333394	47474711	829031	952204	45570272
SV	Branch-avoiding	55	90220586	152546131	332322816	10644542	0	0	671985	330858	47474712	828877	952204	45570272
SV	Branch-avoiding	56	90214660	152567043	332322815	10703651	0	0	672293	334355	47474711	829163	952204	45570272
SV	Branch-avoiding	57	90187303	152498957	332322816	10701570	0	0	672184	331366	47474711	828987	952204	45570272
SV	Branch-avoiding	58	90153142	152587770	332322816	10703270	0	0	671849	335584	47474712	828877	952204	45570272
