Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	RESOURCE_STALLS.RS	RESOURCE_STALLS.SB	RESOURCE_STALLS.ROB	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	776327	2679018	3052387	783618	62824	50	0	0	783618	71298	40422	351382
SV	Branch-based	1	632431	2209532	2909500	783618	15195	77	0	0	783617	55489	40422	351382
SV	Branch-based	2	530503	1858004	2867093	783625	1059	54	0	0	783617	43973	40422	351382
SV	Branch-based	3	521339	1829249	2864176	783618	87	65	0	0	783617	42926	40422	351382
SV	Branch-based	4	521015	1825450	2863963	783618	16	84	0	0	783617	42868	40422	351382
SV	Branch-based	5	521317	1824044	2863924	783618	3	91	0	0	783617	43010	40422	351382
SV	Branch-avoiding	0	491025	1708335	3025615	783626	40426	215160	0	0	432235	42443	40422	351382
SV	Branch-avoiding	1	489632	1703738	3025615	783619	40426	213147	0	0	432235	42377	40422	351382
SV	Branch-avoiding	2	491160	1706097	3025615	783619	40426	213663	0	0	432235	42355	40422	351382
SV	Branch-avoiding	3	488400	1706500	3025615	783619	40426	212379	0	0	432236	42221	40422	351382
SV	Branch-avoiding	4	488055	1707232	3025615	783619	40426	212883	0	0	432235	42339	40422	351382
SV	Branch-avoiding	5	488754	1706646	3025615	783619	40426	214775	0	0	432235	42337	40422	351382
