Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	Stall.RS	Stall.SB	Stall.ROB	Branches	Mispredictions	Vertices	Edges
SV	Branch-avoiding	0	40776110	142764957	332322804	93045033	952208	43335163	0	0	47474699	789012	952204	45570272
SV	Branch-avoiding	1	40834914	142743755	332322803	93045033	952208	43369208	0	0	47474699	789092	952204	45570272
SV	Branch-avoiding	2	40839593	142724477	332322803	93045033	952208	43358711	0	0	47474699	785275	952204	45570272
SV	Branch-avoiding	3	40816734	142648091	332322803	93045040	952208	43463075	0	0	47474700	789220	952204	45570272
SV	Branch-avoiding	4	40828292	142704539	332322803	93045033	952208	43361161	0	0	47474699	786224	952204	45570272
SV	Branch-avoiding	5	40804346	142853032	332322804	93045033	952208	43382079	0	0	47474699	789209	952204	45570272
SV	Branch-avoiding	6	40831300	142768918	332322803	93045033	952208	43297435	0	0	47474699	789171	952204	45570272
SV	Branch-avoiding	7	40838732	142816095	332322803	93045033	952208	43390921	0	0	47474699	789224	952204	45570272
SV	Branch-avoiding	8	40843935	142717656	332322803	93045040	952208	43288302	0	0	47474700	789124	952204	45570272
SV	Branch-avoiding	9	40831125	142725494	332322803	93045018	952208	43390004	0	0	47474699	789309	952204	45570272
SV	Branch-avoiding	10	40828880	142724369	332322804	93045033	952208	43285697	0	0	47474699	789172	952204	45570272
SV	Branch-avoiding	11	40816461	142844887	332322803	93044990	952208	43334230	0	0	47474699	788939	952204	45570272
SV	Branch-avoiding	12	40838867	142710409	332322803	93045033	952208	43370111	0	0	47474699	789281	952204	45570272
SV	Branch-avoiding	13	40811560	142672072	332322803	93045040	952208	43374801	0	0	47474700	788945	952204	45570272
SV	Branch-avoiding	14	40845571	142860032	332322804	93045033	952208	43316475	0	0	47474699	789254	952204	45570272
SV	Branch-avoiding	15	40826884	142741353	332322803	93045033	952208	43414955	0	0	47474699	787601	952204	45570272
SV	Branch-avoiding	16	40833887	142802469	332322803	93045033	952208	43326198	0	0	47474699	788886	952204	45570272
SV	Branch-avoiding	17	40810532	142763873	332322803	93045040	952208	43351271	0	0	47474699	784522	952204	45570272
SV	Branch-avoiding	18	40828843	142720328	332322803	93045000	952208	43331657	0	0	47474700	788486	952204	45570272
SV	Branch-avoiding	19	40805609	142825469	332322804	93045033	952208	43313141	0	0	47474699	788557	952204	45570272
