Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-avoiding	4	377440	645750	1334233	90133	0	131	1861	1153	112728	1319	1317	110085
BFS/TD	Branch-avoiding	5	636804	1082782	2255005	151564	0	487	3396	1759	190551	2259	2253	186036
BFS/TD	Branch-avoiding	6	908969	1536278	3197545	204674	0	191	4432	2497	270279	3269	3267	263736
BFS/TD	Branch-avoiding	7	1122953	1893601	3926701	229088	0	75	5762	3272	331833	3948	3945	323934
BFS/TD	Branch-avoiding	8	1376503	2309315	4801316	312082	0	568	6752	3797	405772	4852	4848	396066
BFS/TD	Branch-avoiding	9	1585256	2709802	5599411	373294	0	444	8517	4697	473175	5618	5616	461934
BFS/TD	Branch-avoiding	10	1873755	3156401	6527672	438829	0	367	10029	6038	551602	6533	6534	538524
BFS/TD	Branch-avoiding	11	2238490	3811841	7827103	545325	0	1285	11594	7072	661350	7788	7788	645765
BFS/TD	Branch-avoiding	12	2675071	4557015	9307334	668378	0	427	13621	8881	786415	9257	9255	767895
BFS/TD	Branch-avoiding	13	3146790	5310855	10853144	791147	70	652	16841	11234	916930	10713	10710	895500
BFS/TD	Branch-avoiding	14	3729053	6357503	12935876	952246	105	758	21033	14376	1092913	12788	12786	1067331
BFS/TD	Branch-avoiding	15	4534002	7497056	15220454	1151172	0	875	24793	17028	1285783	14922	14919	1255935
BFS/TD	Branch-avoiding	16	5296046	8971090	18193814	1372901	0	3006	30418	21107	1537021	17887	17883	1501245
BFS/TD	Branch-avoiding	17	6132682	10401475	21081117	1636027	257	2074	36324	25055	1780952	20732	20730	1739481
BFS/TD	Branch-avoiding	18	6992988	11841073	23948384	1861674	0	2851	41874	29305	2023180	23551	23550	1976070
BFS/TD	Branch-avoiding	19	7986053	13534636	27327111	2157795	19	2168	47350	33409	2308616	26871	26871	2254863
BFS/TD	Branch-avoiding	20	9052958	15337703	30855022	2476169	122	2945	53598	38815	2606778	30449	30444	2545878
BFS/TD	Branch-avoiding	21	10055969	17027866	34182537	2756951	0	3560	59760	43326	2887640	33520	33504	2820621
BFS/TD	Branch-avoiding	22	11188298	18944580	38110282	3066837	150	4619	65604	47612	3220119	37926	37932	3144243
BFS/TD	Branch-avoiding	23	11687965	19781440	39707992	3231671	6	3886	69470	50978	3354861	39303	39303	3276243
BFS/TD	Branch-avoiding	24	12568598	21283859	42714874	3496035	74	5016	73471	54337	3609183	42520	42516	3524139
BFS/TD	Branch-avoiding	25	13272131	22463105	45022072	3719745	281	5540	76847	57777	3804351	45003	45003	3714333
BFS/TD	Branch-avoiding	26	13712291	23208288	46347101	3874373	214	4893	80708	60479	3916675	46620	46635	3823392
BFS/TD	Branch-avoiding	27	14228837	24112181	48313294	3977720	0	4047	80550	61171	4083075	48811	48822	3985419
BFS/TD	Branch-avoiding	28	13479980	22809772	45792431	3746497	0	2668	74583	56622	3871702	47684	47706	3776277
BFS/TD	Branch-avoiding	29	11233219	19018924	38231632	3104960	34	2705	60121	46967	3232083	39509	39519	3153033
BFS/TD	Branch-avoiding	30	9590362	16344376	32750817	2668206	98	4277	52085	40596	2768939	34017	34026	2700876
