Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-avoiding	7	176044	297527	134609	222804	0	991	4539	3605	12071	800	727	10608
BFS/TD	Branch-avoiding	8	244149	403668	184385	312044	0	1449	6623	4913	16548	1139	1009	14521
BFS/TD	Branch-avoiding	9	330730	549876	247557	420075	0	2333	9478	6548	22195	1533	1337	19512
BFS/TD	Branch-avoiding	10	434244	718826	330897	557329	0	901	13123	8805	29686	2093	1805	26067
BFS/TD	Branch-avoiding	11	561449	947641	429557	718401	2	3466	17515	11385	38533	2697	2341	33842
BFS/TD	Branch-avoiding	12	706494	1181860	546329	911382	4	1642	22435	14229	48992	3409	2965	43053
BFS/TD	Branch-avoiding	13	876490	1447729	669863	1102979	0	12867	28347	17550	60081	4128	3646	52780
BFS/TD	Branch-avoiding	14	994048	1686202	783610	1294596	0	3262	33238	20427	70241	4716	4229	61773
BFS/TD	Branch-avoiding	15	1168828	2001097	932013	1533547	0	8616	39709	24118	83566	5706	5051	73455
BFS/TD	Branch-avoiding	16	1347081	2277230	1074541	1775952	3	16089	46198	27458	96302	6592	5787	84719
BFS/TD	Branch-avoiding	17	1524348	2574514	1236424	2024692	0	3456	53451	31139	110849	7594	6692	97455
BFS/TD	Branch-avoiding	18	1739293	2947906	1409967	2281643	0	28431	61266	35438	126388	8603	7616	111147
BFS/TD	Branch-avoiding	19	1986678	3342167	1611116	2546158	1	12318	69178	39922	144416	9780	8700	127006
BFS/TD	Branch-avoiding	20	2276655	3876951	1858003	2908126	0	9161	79232	46182	166578	11541	10062	146445
BFS/TD	Branch-avoiding	21	2606236	4323160	2117784	3261011	0	8587	90233	51523	189835	13010	11440	166945
BFS/TD	Branch-avoiding	22	2916658	4892196	2387338	3685760	5	6042	102529	58225	213951	14605	12857	188227
BFS/TD	Branch-avoiding	23	3195076	5356426	2683595	4046081	8	26688	112274	63556	240443	16466	14404	211626
BFS/TD	Branch-avoiding	24	3430416	5793561	2958260	4349216	0	11635	121445	68279	264889	17762	15738	233403
BFS/TD	Branch-avoiding	25	3756901	6330563	3247508	4723598	0	16607	131541	74650	290862	19631	17340	256172
BFS/TD	Branch-avoiding	26	4003365	6753789	3524974	5033154	0	19535	138718	79913	315677	21495	18791	278085
BFS/TD	Branch-avoiding	27	4175394	7086536	3773822	5225817	0	24958	143774	83579	337728	22892	19917	297884
BFS/TD	Branch-avoiding	28	4347983	7343944	3969342	5403416	0	28489	146403	86516	355139	23986	20875	313379
BFS/TD	Branch-avoiding	29	4405426	7460068	4042620	5469861	6	34952	146275	87656	361760	24483	21316	319118
BFS/TD	Branch-avoiding	30	4366188	7433138	4004648	5409855	0	37149	143191	86403	358459	24467	21198	316052
BFS/TD	Branch-avoiding	31	4259878	7216553	3935679	5242861	5	12056	136937	83975	352252	24015	20805	310632
BFS/TD	Branch-avoiding	32	4010691	6828637	3766724	4931604	300	14675	128110	79215	337028	22897	19824	297370
BFS/TD	Branch-avoiding	33	3771442	6424452	3549814	4633746	81	15949	119086	73974	317705	21726	18755	280185
BFS/TD	Branch-avoiding	34	3466576	5876507	3265599	4218694	4	5387	107848	67555	292357	19970	17330	257688
BFS/TD	Branch-avoiding	35	3111815	5310964	2992746	3805293	66	13839	96089	60687	267911	18393	15865	236171
BFS/TD	Branch-avoiding	36	2875905	4884852	2813158	3455288	0	9889	87080	55852	251704	17092	14801	222092
BFS/TD	Branch-avoiding	37	2606886	4425887	2572400	3110700	0	10854	77773	50492	230263	15736	13620	203013
BFS/TD	Branch-avoiding	38	2383548	4056977	2324223	2893119	35	11575	71090	46711	208141	14272	12386	183360
BFS/TD	Branch-avoiding	39	2218459	3763565	2150200	2679392	0	22985	65555	43386	192716	13426	11594	169518
BFS/TD	Branch-avoiding	40	1956636	3360852	1919659	2379950	5	9225	58101	38637	171996	11871	10302	151383
BFS/TD	Branch-avoiding	41	1792063	3035888	1749256	2147022	0	24609	52874	34928	156819	10968	9464	137881
BFS/TD	Branch-avoiding	42	1582797	2698987	1558009	1900421	0	18382	46951	30790	139755	9829	8499	122748
BFS/TD	Branch-avoiding	43	1425838	2412906	1394639	1715400	172	2377	42040	27437	125064	8746	7576	109903
BFS/TD	Branch-avoiding	44	1270259	2155911	1258792	1531029	143	6106	37450	24179	112937	7878	6884	99159
BFS/TD	Branch-avoiding	45	1078120	1826148	1080925	1278622	0	4984	31783	20415	96939	6780	5877	85176
BFS/TD	Branch-avoiding	46	878948	1504724	888123	1062163	0	3878	26067	16655	79604	5553	4790	70015
BFS/TD	Branch-avoiding	47	741085	1248305	755439	871590	0	3572	21445	13630	67742	4748	4100	59533
BFS/TD	Branch-avoiding	48	589136	1012498	623526	704047	0	441	17217	10830	55888	3909	3361	49156
BFS/TD	Branch-avoiding	49	437124	747121	470021	514401	0	1241	12787	7763	42164	2907	2563	37029
BFS/TD	Branch-avoiding	50	268463	461595	297003	310676	0	854	7910	4724	26662	1896	1634	23385
BFS/TD	Branch-avoiding	51	165757	285829	186071	192851	0	813	4441	2824	16706	1153	1024	14649
BFS/TD	Branch-avoiding	52	71161	122980	89107	76971	0	224	1576	1128	8019	572	504	7002
BFS/TD	Branch-avoiding	53	19389	34590	24189	22438	0	0	373	308	2181	152	137	1898
BFS/TD	Branch-avoiding	54	1542	2852	2779	1205	0	0	12	10	258	21	18	213
