Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	0	532	710	331	0	12	0	15	0	67	6	1	28
BFS/TD	Branch-based	1	3097	4700	3657	402	14	0	187	0	791	83	28	363
BFS/TD	Branch-based	2	53669	88741	58906	1081	59	0	1711	1	14269	2132	265	6865
BFS/TD	Branch-based	3	325960	551350	437703	5691	99	0	12548	3	114443	11164	2720	54497
BFS/TD	Branch-based	4	612319	1036055	814771	19795	17	0	34661	2	216055	19485	9661	98362
BFS/TD	Branch-based	5	408384	702755	493171	17760	0	0	26899	0	129163	13977	9862	54715
BFS/TD	Branch-based	6	123982	211273	138709	6133	0	0	8682	0	35535	4663	3835	13927
BFS/TD	Branch-based	7	27267	46852	31529	1165	0	0	1776	1	8061	1075	943	3083
BFS/TD	Branch-based	8	4379	7847	4646	159	0	0	199	0	1155	168	159	414
BFS/TD	Branch-based	9	948	1984	1097	16	0	0	36	0	273	42	39	93
BFS/TD	Branch-based	10	218	624	185	2	0	0	3	0	45	10	5	13
BFS/TD	Branch-based	11	69	379	65	0	0	0	0	0	15	3	1	2
BFS/TD	Branch-avoiding	0	467	649	389	110	0	0	26	0	39	5	1	28
BFS/TD	Branch-avoiding	1	3244	5308	4679	2008	0	0	204	0	428	51	28	363
BFS/TD	Branch-avoiding	2	34825	58811	85073	19785	0	0	1755	0	7404	351	265	6865
BFS/TD	Branch-avoiding	3	278710	486684	681207	167970	0	2	12648	0	59948	3109	2720	54497
BFS/TD	Branch-avoiding	4	645373	1102960	1276997	461172	0	0	34258	0	117693	10957	9661	98362
BFS/TD	Branch-avoiding	5	462029	784157	755243	343184	0	0	27292	0	74448	10908	9862	54715
BFS/TD	Branch-avoiding	6	139456	237152	205517	102107	0	0	8640	0	21606	3820	3835	13927
BFS/TD	Branch-avoiding	7	31126	52756	46469	20930	0	0	1779	0	4978	867	943	3083
BFS/TD	Branch-avoiding	8	4702	8253	6601	3150	0	0	204	0	741	141	159	414
BFS/TD	Branch-avoiding	9	1070	2027	1549	538	0	0	35	0	180	38	39	93
BFS/TD	Branch-avoiding	10	249	550	249	35	0	0	2	0	32	5	5	13
BFS/TD	Branch-avoiding	11	126	372	77	20	0	0	1	0	13	3	1	2
