Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	56	755061	1297107	2169761	47641	63	0	12452	8941	609279	7185	6265	298370
BFS/TD	Branch-based	57	739781	1284900	2136546	50020	55	38	12457	8610	600041	7034	6160	293856
BFS/TD	Branch-based	58	733627	1237025	2083101	44076	2	11	12257	8224	585071	6820	5971	286560
BFS/TD	Branch-based	59	705626	1209758	2031560	47589	2	0	12625	8442	570567	6610	5810	279469
BFS/TD	Branch-based	60	707260	1196589	1994860	49070	69	17	12800	8988	560105	6547	5712	274336
BFS/TD	Branch-based	61	713714	1195375	2021718	43986	6	0	12566	8480	567480	6661	5782	277953
BFS/TD	Branch-based	62	732581	1277538	2117128	46913	14	0	12371	8371	594307	7032	6062	291087
BFS/TD	Branch-based	63	769162	1326796	2196095	52253	11	0	13243	9275	616431	7264	6286	301925
BFS/TD	Branch-based	64	822126	1390634	2300479	56215	169	0	14368	10404	645733	7627	6573	316289
BFS/TD	Branch-based	65	855900	1440445	2402729	61387	41	0	13992	10844	674449	7920	6895	330325
BFS/TD	Branch-based	66	884091	1496235	2492825	61252	73	13	14312	10820	699856	8234	7154	342769
BFS/TD	Branch-based	67	890906	1539512	2534951	66110	80	82	14897	11303	711663	8412	7287	348540
BFS/TD	Branch-based	68	912349	1544570	2578554	59873	224	7	14650	10649	724085	8495	7420	354618
BFS/TD	Branch-based	69	900536	1530923	2552207	63235	243	0	15850	11543	716785	8413	7329	351059
BFS/TD	Branch-based	70	889177	1498827	2486609	62696	25	0	15434	11091	698338	8194	7154	342010
BFS/TD	Branch-based	71	855178	1482642	2417211	60896	7	0	15502	11204	678869	8063	6986	332444
BFS/TD	Branch-based	72	817089	1408091	2327184	58347	0	375	15035	10886	653465	7773	6734	319994
BFS/TD	Branch-based	73	819541	1402933	2310818	55111	34	0	13725	9908	648873	7565	6615	317817
BFS/TD	Branch-based	74	813121	1387319	2301222	56513	4	3	14465	10281	646179	7607	6636	316449
BFS/TD	Branch-based	75	806625	1360321	2279941	54725	5	349	13679	9842	640280	7538	6559	313576
BFS/TD	Branch-based	76	783670	1358724	2242183	54647	105	55	14221	9786	629521	7416	6426	308330
BFS/TD	Branch-based	77	780861	1359470	2250569	55554	33	8	13376	9624	632091	7467	6524	309517
BFS/TD	Branch-based	78	769689	1295223	2175354	50799	76	152	12864	9113	610775	7172	6223	299160
BFS/TD	Branch-based	79	771149	1306038	2190076	50566	14	91	12966	8950	614873	7274	6321	301111
BFS/TD	Branch-based	80	782144	1319999	2219055	52682	11	0	13546	9695	622812	7360	6349	305052
BFS/TD	Branch-based	81	810533	1409638	2334996	55118	9	29	13796	9572	655439	7765	6720	320995
BFS/TD	Branch-based	82	846816	1459896	2418709	59433	29	63	14498	10674	678865	8002	6930	332498
BFS/TD	Branch-based	83	891449	1508356	2515330	60453	12	15	14755	10920	706405	8338	7294	345904
BFS/TD	Branch-based	84	877890	1488848	2453717	62459	14	0	15169	11360	688694	8091	7007	337335
BFS/TD	Branch-based	85	921654	1566467	2591091	63780	41	16	15343	11322	727253	8574	7420	356202
BFS/TD	Branch-based	86	950428	1646392	2703518	68488	14	0	15976	12478	759051	8975	7812	371709
BFS/TD	Branch-based	87	969243	1640340	2718953	67853	44	0	15898	12398	763209	9031	7798	373802
BFS/TD	Branch-based	88	989260	1697671	2780603	69508	45	54	16934	13320	780566	9285	8106	382172
BFS/TD	Branch-based	89	1004341	1683946	2814944	64973	20	0	16383	12905	790305	9325	8099	387049
BFS/TD	Branch-based	90	989070	1716811	2831345	71982	29	0	17454	12844	795147	9406	8190	389379
BFS/TD	Branch-based	91	989451	1677849	2761086	71322	6	188	17077	13215	775175	9134	7917	379666
BFS/TD	Branch-based	92	994979	1708224	2809324	77822	21	3	17358	13861	788892	9282	8071	386370
BFS/TD	Branch-based	93	998489	1690666	2790003	79722	113	31	16885	13662	783281	9228	7994	383642
BFS/TD	Branch-based	94	1019884	1751758	2846654	77439	203	0	17211	14099	799305	9439	8176	391472
BFS/TD	Branch-based	95	1029598	1727331	2846136	71865	463	63	18629	14041	798869	9483	8183	391247
BFS/TD	Branch-based	96	1055392	1800723	2965354	86792	75	22	19023	14556	832512	9789	8512	407739
BFS/TD	Branch-based	97	1094064	1860413	3014087	87831	43	106	18496	15004	846051	10064	8673	414348
BFS/TD	Branch-based	98	1101164	1900558	3130371	78524	3	2	18291	14197	878999	10331	8960	430535
BFS/TD	Branch-based	99	1112422	1894774	3118976	76622	61	0	18103	15057	875815	10366	8995	428908
BFS/TD	Branch-based	100	1110475	1874799	3094209	76686	144	2	18474	15518	868884	10202	8876	425561
BFS/TD	Branch-based	101	1090437	1872662	3066202	74612	18	6	17790	14588	861043	10170	8827	421690
BFS/TD	Branch-based	102	1077291	1836650	3023754	76453	1	2	18999	14979	849209	9974	8687	415913
BFS/TD	Branch-based	103	1064716	1785232	2955792	80225	74	18	18279	14149	829954	9765	8484	406488
BFS/TD	Branch-based	104	1050415	1806551	2974047	87507	21	0	19553	15456	834803	9847	8498	408899
