Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-avoiding	89	1493757	2547918	4725622	584419	0	1377	15266	12070	403257	8053	8099	387049
BFS/TD	Branch-avoiding	90	1497952	2552877	4754491	570401	0	837	16311	11488	405768	8164	8190	389379
BFS/TD	Branch-avoiding	91	1477836	2502547	4635205	591054	0	3343	16248	13067	395509	7892	7917	379666
BFS/TD	Branch-avoiding	92	1478951	2560832	4717194	591394	129	2141	16405	12965	402522	8069	8071	386370
BFS/TD	Branch-avoiding	93	1517236	2565812	4683687	592569	0	3540	15677	12434	399639	7969	7994	383642
BFS/TD	Branch-avoiding	94	1509609	2592019	4779467	601737	0	2429	16522	13413	407833	8180	8176	391472
BFS/TD	Branch-avoiding	95	1528321	2616861	4776838	613137	0	4349	17988	13812	407623	8140	8183	391247
BFS/TD	Branch-avoiding	96	1596314	2680097	4978031	634864	0	2069	17449	13651	424772	8487	8512	407739
BFS/TD	Branch-avoiding	97	1619522	2768608	5058950	639843	0	1062	17563	14183	431704	8671	8673	414348
BFS/TD	Branch-avoiding	98	1661550	2834694	5256063	651401	28	155	17502	14088	448464	8960	8960	430535
BFS/TD	Branch-avoiding	99	1672953	2845066	5236890	656997	0	766	17444	14410	446907	8990	8995	428908
BFS/TD	Branch-avoiding	100	1654114	2808950	5195535	653745	0	1125	18004	15438	443322	8873	8876	425561
BFS/TD	Branch-avoiding	101	1639495	2791402	5148593	653703	0	1097	17244	14869	439353	8819	8827	421690
BFS/TD	Branch-avoiding	102	1616830	2747995	5077870	639881	225	3779	18122	14478	433297	8691	8687	415913
BFS/TD	Branch-avoiding	103	1595193	2684251	4962739	631623	105	232	17632	13772	423465	8470	8484	406488
BFS/TD	Branch-avoiding	104	1563054	2715406	4991812	632052	308	1740	18006	15347	425905	8496	8498	408899
BFS/TD	Branch-avoiding	105	1659687	2865030	5193845	687197	1600	538	19395	15650	443222	8904	8911	425391
BFS/TD	Branch-avoiding	106	1681313	2842013	5142997	706699	265	397	19185	16755	438805	8752	8757	421282
BFS/TD	Branch-avoiding	107	1673668	2876411	5209196	699479	426	4060	19377	16423	444543	8938	8946	426641
BFS/TD	Branch-avoiding	108	1648929	2799373	5092373	674986	0	4425	20534	16951	434521	8703	8701	417110
BFS/TD	Branch-avoiding	109	1601225	2763652	5000912	659257	168	3339	18928	15969	426745	8563	8568	409599
BFS/TD	Branch-avoiding	110	1569611	2673611	4855129	649320	0	998	18944	15391	414228	8259	8253	397713
BFS/TD	Branch-avoiding	111	1561098	2646135	4829599	634420	0	512	18460	15144	412076	8232	8232	395603
BFS/TD	Branch-avoiding	112	1579445	2703753	4931820	640071	0	1180	19125	15148	420824	8421	8428	403958
BFS/TD	Branch-avoiding	113	1649034	2802221	5126979	672477	0	3698	18965	15323	437462	8747	8750	419953
BFS/TD	Branch-avoiding	114	1696390	2896535	5281596	687584	0	488	18974	15902	450707	9061	9058	432581
BFS/TD	Branch-avoiding	115	1652251	2806401	5187777	677711	0	750	18916	15425	442651	8848	8855	424932
BFS/TD	Branch-avoiding	116	1639413	2735804	5075900	663913	0	1085	18103	14937	433190	8710	8736	415708
BFS/TD	Branch-avoiding	117	1529214	2563566	4760893	620790	4	217	16290	14157	406326	8207	8211	389895
BFS/TD	Branch-avoiding	118	1510507	2509516	4708559	602978	98	1049	16985	13596	401679	7961	7966	385738
BFS/TD	Branch-avoiding	119	1551894	2619544	4882254	625489	1010	2436	17331	14035	416620	8368	8365	399880
BFS/TD	Branch-avoiding	120	1557669	2623275	4895843	636053	76	2333	16918	13746	417727	8329	8344	401030
BFS/TD	Branch-avoiding	121	1603966	2687091	5011676	648614	35	3135	16821	14106	427641	8568	8568	410496
BFS/TD	Branch-avoiding	122	1639920	2763321	5142541	662470	0	2332	16674	13719	438866	8828	8841	421174
BFS/TD	Branch-avoiding	123	1608809	2691030	5026937	640878	0	3537	16666	14020	428921	8581	8575	411762
BFS/TD	Branch-avoiding	124	1584842	2687024	5020146	625466	0	1302	16304	13486	428454	8661	8659	411126
BFS/TD	Branch-avoiding	125	1466560	2441095	4619573	567599	0	335	15396	12187	394239	7919	7945	378340
BFS/TD	Branch-avoiding	126	1392925	2327448	4368389	539993	0	1653	15613	12333	372768	7483	7483	357793
BFS/TD	Branch-avoiding	127	1319663	2209758	4168862	507909	0	329	14692	10835	355717	7119	7119	341469
BFS/TD	Branch-avoiding	128	1254854	2108740	4003577	472570	0	1811	13652	10259	341632	6851	6853	327917
BFS/TD	Branch-avoiding	129	1241537	2071034	3933871	463398	0	858	12811	9516	335668	6715	6720	322219
BFS/TD	Branch-avoiding	130	1195547	2028629	3836012	453767	41	1832	13706	9900	327318	6547	6552	314204
BFS/TD	Branch-avoiding	131	1213483	2026856	3856535	454842	0	1304	13523	10020	329060	6579	6580	315891
BFS/TD	Branch-avoiding	132	1215575	2031018	3855241	460084	0	2923	13832	10181	329091	6623	6699	315684
BFS/TD	Branch-avoiding	133	1173126	1989111	3768322	435688	0	1493	13126	9323	321620	6500	6503	308604
BFS/TD	Branch-avoiding	134	1151339	1930455	3680209	430384	0	1262	13404	9706	314064	6315	6321	301413
BFS/TD	Branch-avoiding	135	1112678	1872752	3556347	429354	0	493	13473	9765	303440	6065	6062	291307
BFS/TD	Branch-avoiding	136	1137443	1908448	3609776	420967	25	821	13035	9441	308023	6170	6174	295666
BFS/TD	Branch-avoiding	137	1137865	1920231	3637929	428778	0	202	13766	9708	310410	6214	6209	297983
BFS/TD	Branch-avoiding	138	1154597	1941099	3690639	434290	0	2093	13482	9433	314925	6313	6314	302288
BFS/TD	Branch-avoiding	139	1180823	1975677	3758609	438732	0	1274	13510	10064	320728	6431	6433	307853
BFS/TD	Branch-avoiding	140	1204144	2042476	3853068	458772	49	2149	14364	10480	328723	6539	6538	315637
BFS/TD	Branch-avoiding	141	1262380	2116314	4023489	475879	0	291	14389	10361	343324	6889	6881	329553
BFS/TD	Branch-avoiding	142	1297263	2148384	4111409	482107	0	1869	15190	10895	350814	7019	7021	336763
BFS/TD	Branch-avoiding	143	1298577	2211104	4178218	491898	0	394	15319	11410	356513	7134	7133	342237
BFS/TD	Branch-avoiding	144	1300117	2179882	4113719	491354	0	147	14850	11134	351031	7050	7042	336938
BFS/TD	Branch-avoiding	145	1273684	2146170	4065167	483943	0	1122	15200	11564	346838	6920	6916	332997
BFS/TD	Branch-avoiding	146	1321138	2218367	4159458	506709	0	3100	15898	11830	354917	7108	7105	340697
BFS/TD	Branch-avoiding	147	1307187	2189230	4133095	504855	36	1294	14945	11517	352662	7058	7056	338541
BFS/TD	Branch-avoiding	148	1319625	2228435	4214533	510400	0	2928	15999	11962	359620	7209	7203	345205
BFS/TD	Branch-avoiding	149	1351883	2261494	4259082	512210	0	380	15459	11765	363415	7276	7273	348859
BFS/TD	Branch-avoiding	150	1306043	2189056	4114307	502226	0	337	15450	11734	351080	7046	7042	336987
BFS/TD	Branch-avoiding	151	1261697	2125624	4039323	494570	0	535	14858	11081	344668	6906	6902	330855
BFS/TD	Branch-avoiding	152	1237158	2070860	3901074	489621	110	1710	14274	11045	332846	6646	6643	319550
BFS/TD	Branch-avoiding	153	1181393	1995464	3781429	470413	0	2761	14293	9742	322695	6491	6489	309708
BFS/TD	Branch-avoiding	154	1137281	1911426	3658397	431346	0	146	13309	9868	312181	6267	6265	299642
BFS/TD	Branch-avoiding	155	1070292	1788774	3424626	388767	0	412	12072	8712	292210	5844	5845	280511
BFS/TD	Branch-avoiding	156	1012835	1729587	3311491	366691	0	404	12339	8246	282579	5674	5670	271229
BFS/TD	Branch-avoiding	157	961733	1629465	3136337	341528	0	1146	10923	7112	267598	5343	5341	256907
BFS/TD	Branch-avoiding	158	938708	1567077	3040115	332727	0	278	10972	6881	259457	5235	5236	248976
BFS/TD	Branch-avoiding	159	851829	1417281	2731989	296070	0	195	9447	6465	233102	4660	4655	223783
BFS/TD	Branch-avoiding	160	778748	1327185	2548016	279601	0	262	9531	5966	217388	4329	4326	208726
BFS/TD	Branch-avoiding	161	778852	1315447	2525013	274818	2	1156	9097	5595	215511	4363	4361	206780
BFS/TD	Branch-avoiding	162	757098	1283598	2480619	262722	0	441	9128	5889	211640	4218	4214	203203
BFS/TD	Branch-avoiding	163	728762	1224963	2390851	249114	0	1488	8108	5144	204045	4118	4116	195804
BFS/TD	Branch-avoiding	164	664831	1124178	2200451	226618	0	49	7592	4330	187770	3768	3766	180229
BFS/TD	Branch-avoiding	165	622528	1030313	2002982	210655	0	336	7535	4570	170915	3425	3423	164059
BFS/TD	Branch-avoiding	166	561010	961588	1858193	195169	0	392	6925	3877	158587	3204	3199	152180
BFS/TD	Branch-avoiding	167	527051	888647	1708295	186611	0	41	6879	4132	145728	2888	2884	139951
BFS/TD	Branch-avoiding	168	509039	861403	1669571	170423	0	24	6204	3621	142452	2844	2842	136759
BFS/TD	Branch-avoiding	169	509646	858477	1662487	171988	0	369	6157	3755	141878	2860	2856	136157
BFS/TD	Branch-avoiding	170	477310	802994	1579327	157765	0	12	5609	3503	134752	2690	2688	129367
BFS/TD	Branch-avoiding	171	416645	705701	1390579	139492	0	102	4723	2747	118680	2396	2394	113883
BFS/TD	Branch-avoiding	172	351401	598178	1182539	112223	0	23	4257	2183	100935	2046	2044	96838
BFS/TD	Branch-avoiding	173	307162	498063	988024	91185	0	94	3513	1831	84317	1696	1694	80920
BFS/TD	Branch-avoiding	174	237385	406997	809859	72929	0	0	2712	1313	69128	1402	1400	66318
BFS/TD	Branch-avoiding	175	163307	279046	564915	48433	0	393	1916	890	48225	982	980	46256
BFS/TD	Branch-avoiding	176	55255	94909	192221	15635	0	0	594	289	16424	345	343	15729
BFS/TD	Branch-avoiding	177	7189	12581	25229	1531	0	0	22	18	2165	51	49	2058
